Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0004_1,0004_2,0004_3,0005_1,0005_2,0005_3,0005_4,0006_1,0006_2,0006_3
1,0.0,2505485.2733635874,2355708.5127427597,2296551.6019685664,2433724.2214227184,2418639.8557685795,2112174.7782369596,2334246.937810964,2168636.3762453143,2289396.521539182,,2940995.7196196765,2256140.6844009734,2247684.1802766263,2528398.0274647987,2506975.6003025626,2814547.2437693374,
2,0.0714285714285714,2577735.0899404096,2437464.1132110544,2347310.3138173,2018715.8674033955,,2156800.288172744,2361304.631818786,2240163.0937102623,2196061.296878073,,2769381.6682238393,2272456.8782101795,2096339.6341900218,2460027.520323584,2360467.9063658053,2918858.798547368,
3,0.1428571428571428,2553665.3770134086,2638214.2985197003,2396410.521601665,2298242.623739975,,2245963.7614711877,2148831.4670808166,2299347.9169578794,2154497.8686700705,,3199657.640547692,2317323.6430224827,,2461778.0423482517,2530958.1212662305,2912121.580198722,2715931.9728961857
4,0.2142857142857142,2457084.6604802073,2598013.370933999,2463863.513645107,2020283.535106239,2689391.3649892774,2233336.2002716325,2221867.593420264,2360464.9408602915,2158523.090332933,,3137619.4329856993,2200582.3588343244,2096912.2179736262,2550384.026277649,2384507.5031127185,2799385.807782014,2922080.3175239074
5,0.2857142857142857,2271401.762580174,2542410.953514226,2402535.8587802406,2235366.303494716,2583226.9536790648,2343341.685859783,2568409.8967448003,2285196.4654273726,2316941.2426678836,,3238755.3981512985,2181619.684800665,2281621.2379216324,2730681.778252181,2369180.9424635507,2775266.937539475,2747927.283681118
6,0.3571428571428571,2516312.7907712935,2395300.373076748,2297687.5781132183,2062719.7073590253,2585680.7740364815,2348517.8284532423,2696157.795812138,2326874.480976092,2259436.3017314244,,2878696.749257673,,2159211.7685237736,2603037.226769496,2484383.7298898334,3067743.1375882584,2661605.4246446737
7,0.4285714285714285,2442727.1368678175,2299142.3333711056,2155443.6262756963,2284565.490613242,2629619.4663711614,2303882.289842468,2574790.130410992,2246123.4524078504,2295497.351915198,,3056400.496386535,2142951.170057932,2408797.2349206805,2677595.7747938065,2265369.9242884135,2638781.2615593043,2592781.265798698
8,0.5,2621020.2504768367,2313680.9634616757,2490243.2423732057,2271117.3895044066,2743397.755332508,2181187.807338583,2400900.672379223,2290833.585300155,2312040.072696869,,2929091.515698458,2232973.5171364886,2283248.911336485,2474690.9106531087,2287841.08408767,2816563.627811908,2751536.037517077
9,0.5714285714285714,2688148.319080005,2399959.3886401146,2406719.504363295,2229845.218370135,2665344.2984235743,2286393.7546338197,,2385257.138655665,2196639.134435855,,3152270.886666102,2179547.2335621584,2317797.035798619,2398021.7132376586,2192799.5959204417,2485209.113008519,2666184.355698139
10,0.6428571428571428,2551408.1363389893,2660090.1789011965,2337458.0943843084,2091661.6890339786,2728321.3931159577,2080542.8844300068,2219443.5291746524,2175885.078187545,1969654.4561350092,,3123962.140827035,2311798.892576527,2428609.2318356084,2541157.8617404206,2162457.5581772076,2886802.9901120556,2692603.2582591716
11,0.7142857142857142,2551347.824086785,2527719.4170497456,2203538.7460618964,2318331.917569011,2679997.488269721,2159658.4233956984,2123564.3932244163,2357350.902248353,2052271.5291147372,,3158918.591069938,2215234.0820517424,,2592941.095548955,2719827.3443931555,2797478.286179355,2588666.374954585
12,0.7857142857142857,2398460.3497031583,2486604.06286988,2262522.1378932535,2319899.349661771,2847485.297741359,2111491.3589603878,2435070.820653177,2189225.079491652,,,3105430.7399691073,2106079.1885150373,2430626.751758648,2697905.7117046313,2430235.479889951,2757303.689759084,2641215.7881075907
13,0.8571428571428571,2462099.6755718957,2341451.129694287,2394431.0337483664,2136627.367854904,2609020.837024091,2113133.803035877,2560255.755799168,2260828.1156254024,2214549.7501728865,,3127242.3268148694,2315741.4237474194,,2904822.5820582095,2370115.9961523847,2930800.678984258,2851908.308372653
14,0.9285714285714284,2246157.4480235153,2256734.957845161,,2313740.410770572,2866432.2624606797,2348430.337223148,2569591.965854835,2331656.837909691,2199643.271668562,,3265268.5969534907,2123681.8192674555,,2880663.077499362,2533122.049240963,2622079.0992705817,
15,1.0,2677738.614403037,2422802.1154253203,,2238057.346427991,2721725.2425208883,2253214.9437151304,2569068.4864669875,2115626.006646628,2249232.3345495453,,2890913.9475492463,2233942.9595897743,2125586.632422879,,2473505.8161542173,2716037.632908733,2426132.198386063
16,1.0714285714285714,2501350.210687316,2569843.4447893114,2314309.9196833028,2049866.1607620907,2855430.9866062095,2309330.845308537,2331581.9610976055,2289459.873024644,,,3056077.179363182,2199219.809339816,2091407.6474703276,2653943.492847003,2416063.5293014394,2673067.5254810713,2803821.1023780922
17,1.1428571428571428,2596323.1039808556,2528069.5864512455,2405872.8391489116,2313158.507059737,2392715.335415991,2166514.6490811193,2173949.970659088,,,,2936173.742402191,2174045.9562201207,2259980.0729962727,2736363.6984451553,2344567.5231344877,2684352.8893915378,2837096.308646036
18,1.2142857142857142,2481862.9201142085,2735331.797598803,2488829.1829016837,2243705.1149431365,2854641.579816488,2216385.2935625557,2377132.0457433295,2401466.5067548435,2128479.753718537,,3122287.857059498,1992160.8101192664,,2665579.7092297575,2629838.6450036387,2636010.727114488,
19,1.2857142857142856,2637480.8428682038,2530120.6829887857,2466469.352739273,2166601.614823154,2485812.810640028,2336627.9315354107,2286263.150796031,2206942.355028632,2059778.467384957,,2826517.9508283073,2226512.637208159,2458621.950034757,2724722.377384419,2387877.380334521,2776873.3722472275,
20,1.357142857142857,2523397.629487044,2259178.2788240057,2289917.1613456085,2210982.510510549,2800166.3063248163,2189617.250656275,2366857.581849201,2266556.954297011,2074868.3453962435,,3110128.1892486936,2302336.3444557,2323322.5718675,2757804.968982131,2410814.5787580498,2844190.816633089,2707596.4424312343
21,1.4285714285714284,2631970.8784702406,2401780.0242584855,2408394.660081059,2237320.8922858145,2586858.110545426,2258665.992083876,2690287.59088111,2157497.191749323,2097029.2364522961,,3049178.033277729,2331343.0813837457,2339978.038819174,2573992.378707873,2554178.9630906964,2783480.2862447915,
22,1.5,2618720.1900369436,2465715.016846766,2285914.0077440413,2155721.95456128,2708702.9626385504,2142119.3483071793,2554421.611084636,,,,2995664.370631448,1915858.9664923046,2307129.346999565,2717625.3350114254,2367935.1485108524,2917140.588995167,
23,1.5714285714285714,2419303.409355811,2579413.686798905,2341783.274153239,2060699.9286504446,2715366.45406558,2262241.346923331,2449926.8105900986,,2287917.315938981,,3037237.501709435,2127672.8565006317,2192177.653296945,2735232.3166351113,2795254.0443015746,2894944.3427397297,2498643.576278939
24,1.6428571428571428,2570995.2156207287,2526297.7802422335,2429814.916962044,2124248.0475612124,2725078.787882669,2138921.3288853066,2307095.173165072,2077335.085776508,,,3056079.857483962,2050001.5163176032,2122693.60494445,2776164.2615542575,2433613.896420883,2755018.258399601,2640944.170056525
25,1.7142857142857142,2554116.069328724,2599882.0587791656,2378600.1047191583,2284527.640092489,2486725.1257961937,2035963.6559565603,2303536.5778899984,2194471.795193044,2307677.578243568,,2981286.3433150896,2150105.1548353517,2041858.5100723398,2663867.785817871,2487850.3601714782,2716584.620426418,2508267.996856011
26,1.7857142857142856,,2602842.333190165,2174566.7098526824,2282144.7497609616,2758754.5569439223,2215271.475097733,2478180.118086686,,2096600.9763051737,,3132020.150322679,2365419.2727426933,2220140.3438641764,2676466.351136879,2548951.0519201597,2771451.0835147435,
27,1.857142857142857,2588897.8280090927,2331612.5719463257,2171520.146209522,1955089.8320380808,2829248.270729554,2211951.6297209957,,2150727.5681456216,,,3245832.191781708,2153649.831483115,2459827.6959045865,2885869.717163173,2672276.991292098,2940213.8750471957,
28,1.9285714285714284,2763285.6402942953,2481388.9940296398,2300448.0782412747,2133039.5660025873,,2329171.434855045,2586758.9307229095,2028069.031591182,2071175.1128357905,,2954798.8996425043,2177534.149183787,2369036.702490314,,2794993.39664312,2775280.425486692,
29,2.0,,2592287.71803026,,2276865.369567682,2402531.7542764065,2258679.072974816,2700676.9149329145,1966008.322591434,1914752.6833075734,,3219255.1307637463,2084929.335612247,2364771.744928278,2855748.302212975,2437575.4578802213,2628314.322302484,
30,2.071428571428571,2744845.8479458517,2436112.1645130576,2453938.928123512,2072291.0334925072,2692229.680588083,2243112.8576872847,2506887.44826426,1980113.3001841889,2070423.0841129357,,2995386.484133294,2249751.8475129,2149877.6015055706,2514658.0195939136,2542859.6587123005,2756369.1383293243,
31,2.142857142857143,2406043.314576518,,2543610.6924794214,2275959.150272443,2561544.28779939,2034924.5933920692,2409674.721124177,2102257.3642451614,2213542.339548175,,3151850.7579721627,2225975.828634183,2160288.488052336,2706897.37802042,2548265.9345153566,2856014.469000447,
32,2.214285714285714,2448410.599642979,2390260.2225036044,2319874.698403643,2261886.3905759435,2738998.019519621,2208514.3270908804,2373751.5363071808,2060710.975815191,2172289.465367796,,3059508.5891669453,2344405.401383416,2457977.236935068,2536163.005413654,2713016.168282534,2726127.6139804213,
33,2.2857142857142856,2396087.7711326727,2556399.855765209,2410412.8002027427,2127218.221243758,2624658.3640945395,2225107.547538701,2399168.366848782,2151780.1128123957,2194317.4888910293,,3016817.341893706,2192354.1490659746,,2464959.7426190395,2406502.893336424,2668301.782211387,
34,2.357142857142857,2499849.0148589313,2733467.2196867587,2280248.0709766764,2121781.919306006,2717098.064400462,2259886.1538928356,2249786.667312412,2149884.9012900796,,,3255595.2128978684,2036031.8233992122,,2882551.5487114484,2479945.668257633,2670237.0398726827,
35,2.4285714285714284,2601620.010240061,2605349.476476492,2314979.0614551534,2189023.1137055443,,2198859.8265697234,2609292.532353343,2175483.573896065,2327679.4606036977,,3044011.977555507,2068140.7293456758,,2493304.655597787,2561087.9196225293,2850720.0835049027,
36,2.5,2544494.0602828674,2488892.043506196,2554385.026874401,2126160.733538535,2705088.781715794,2357220.0372214126,2577253.5983396703,1989783.164030273,,,2819403.1368435407,2222676.6412592717,2377856.1905977023,2553859.02538762,,2701384.636130126,2726729.260867683
37,2.571428571428571,2347398.638770876,2529278.2779160775,2538855.6954673,2239495.273637569,2558147.3534603836,2468653.419397619,2518243.154170167,1914563.8194323266,2103947.1585662784,,2824856.1616966613,2148545.9017079705,2164611.4185458357,2548494.931873725,,2788336.8268524925,2903285.492542758
38,2.642857142857143,2707896.075391146,2448844.7575694695,2364163.3489234806,2130915.801247645,2607263.49348683,2157266.0119958813,2356416.7866378776,2101915.9855436743,2213168.977941914,,2850084.1443774556,2215196.853965522,2380443.5329231382,2544569.395510528,2696811.0589417242,2797128.1339360336,2608919.723546362
39,2.714285714285714,2593015.5556321647,2548218.5024342253,2246640.8979423917,2050196.3146068766,2689721.4191649896,2144143.5788076175,2117125.512700647,1965889.950949384,1943394.9940896952,,3045510.6206989028,2275696.9631615267,2456693.3935939167,2416860.648031203,2350962.075986634,2830661.2457016865,
40,2.7857142857142856,2411645.1845852803,2682683.8627379653,2238385.473188635,2071740.9769416961,2623338.5587139567,2289025.678532263,2344209.6006660396,2088637.083114954,,,3176283.4564043027,2179788.9821427288,2468497.510622708,,2588702.8809775254,2542559.0547756995,
41,2.8571428571428568,,2569134.43155866,2301900.6810968854,2147600.9321501073,2740972.990519908,2035413.1311221595,2621438.04858585,1911829.4689503894,2082743.1724517767,,3075528.4698075308,2026169.9880102943,2152162.1859393045,,2600661.576825875,2624215.6923961244,
42,2.9285714285714284,2579600.517004639,2356412.089275453,2288264.7971710507,2338427.2607783815,2863718.4847210543,2374912.3597596954,2488590.648589304,1977820.6879833108,,,2773984.5941141476,2082079.4915579692,2384518.4092633096,2620833.729584159,2352141.959923981,2805917.169313575,2567675.5138624385
43,3.0,2417972.388140206,2493775.4841066524,2614466.0537132784,1956308.0457015377,2609764.122646246,2149272.086954602,2687314.783967095,2138055.9287595935,2146634.4474688014,,3074083.6485250033,2199356.816206861,,2723484.0583420414,,2889471.787658063,2598031.151661399
44,3.071428571428571,2509068.4497881266,2770962.2024333114,2427451.4462213675,2079628.8175111723,2722402.4938110006,2139600.854829932,2644126.995997041,,2293533.1324411156,,3052768.93149464,2197125.558038148,2138050.3074169466,,2582053.4691033363,2762689.8571524466,
45,3.142857142857143,2574429.594913156,2456509.185903207,2489454.4954301347,2307879.7755475626,2759193.468468962,2094056.4214500054,2290882.320512694,1819652.18202442,2139316.529337803,,2833202.9167839945,2423811.0403602016,2306428.9620957375,,2404922.010487384,2942769.706920597,2793776.048582369
46,3.214285714285714,2489086.464125433,2648245.175523168,2533564.5148346364,2002934.6079313196,2605540.4771656524,2293503.868270183,2203976.0491857757,2190004.3936392716,2212130.194361377,,3006455.4579737,2071191.9221040523,2324914.921188733,2778724.850936769,2548634.949096486,2888126.9218688104,2742507.056795803
47,3.2857142857142856,2601065.0331391003,2564929.537686381,2365037.8010748373,2047129.7130636408,2776188.877166488,2353969.9324334506,2300986.592716689,2107760.3147005658,2127834.4554910376,,2877106.4010319347,2164989.0600419207,2247476.80074788,2785685.313049428,2329341.5997604392,2738519.3052213853,2628845.4440468242
48,3.3571428571428568,2786705.833658205,2555810.4379905043,2501604.6873608143,2080248.8926771856,2802936.206336573,2296613.927033555,2663938.929246642,2125023.4980631904,2198407.4555602004,,3142341.4046705775,2124605.0292834323,2315115.3574049845,2656253.532297469,2478259.651539715,2725322.8446140136,
49,3.4285714285714284,2740977.102169482,2392911.785805308,2391886.4002677575,1998712.6081853467,2451507.444849263,2442362.844368918,2651879.218094461,2120370.9865481714,2064765.3893528986,,3054750.6656410648,2090878.3243716431,2441650.7273230962,2277283.948099619,2497125.320240656,2855048.0936907604,2759751.667922164
50,3.5,2246366.1377123506,2221297.6471550553,2142648.155319503,,2690152.6141976626,2316138.565345187,2547221.8025232507,2257645.5149709247,2089982.182159465,,3218159.363130794,2105506.322622704,,2608809.0776670934,2475361.43710352,2718848.1969856797,
51,3.571428571428571,,2687102.852333036,2463629.6122587933,2093909.6968673258,2540937.7313930118,2034097.8798426827,2516219.0481744516,2307781.3395669116,2265859.9560582153,,3074115.966987369,2292312.0336977663,2120633.7807657425,2542417.68233607,1985497.5957665856,2824128.913605828,
52,3.642857142857143,2596871.5904104817,2632251.162659625,2548796.508502175,2166216.9639071343,2509389.969137732,2152622.7333605452,2276487.916588763,2312935.375459286,,,3046478.58925289,2117767.4054067344,2284520.6942131044,,2458486.710487329,2710694.6804133873,2823784.418106712
53,3.714285714285714,2693176.603114522,2661447.829619584,2425756.9858339354,2004834.9774392014,2716242.153938879,2023202.9902948302,2634042.4762188625,2177981.6361340526,2118616.7723230785,,2928787.493532984,2122645.279510041,2456692.2841783524,,,2826708.4892045786,2806433.6743741264
