Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3
1,0.0,2327674.0130253388,2948025.563040291,,2245060.601388045,2321485.00683628,2381271.22524328,2322703.436577387,2627211.2624033745,2331978.2114008428,2868697.4213438174,3223873.6191972084,2946904.6213271967,,2977098.4213014115,2788036.672949365,,2625833.6662263297,2489099.663280362,2744746.757555844
2,0.0714285714285714,,2956505.2203733325,2198073.5490778377,2528727.321111993,2227431.5054141455,1972969.948182371,2562777.633252455,2453346.3635357628,2224607.5454490418,2922090.0045450614,3374940.3156976495,3032446.4157391405,3125625.381384224,,2717114.5665915837,3173281.311202377,2668985.533180437,2632088.495832415,2480841.7397510326
3,0.1428571428571428,,3029877.4011817025,2401745.4978643614,2254695.4121330692,2368663.2197860447,,2290500.9168030093,,,3029791.5563758006,3202981.5717905583,2979489.271938239,3334076.3150208364,2800370.5514621693,2840457.0521627422,2979152.342043386,2675890.5005213674,2430555.7353058327,2602855.976004929
4,0.2142857142857142,,2860970.3536745035,,2247942.1828135517,2281243.992642671,,2653071.8766325796,2908650.8834200827,2266313.84911671,2980861.6603436717,3371020.4878239785,3252946.0447100634,3420545.4242914496,2950394.952642427,2798670.432839378,,2362876.6451992774,2491026.796235297,2430917.8479467495
5,0.2857142857142857,,2959657.506906582,2489422.738074312,2263590.655701115,2146681.3039645394,2462948.1596046337,2501588.4953266117,2824159.567086927,2183512.658715487,2831468.0895634755,3240036.955591893,,3167183.9321299284,3033574.7150935354,2700379.6096738596,2787451.3759475616,2736617.6830194634,2480089.4202885316,2811368.7182811475
6,0.3571428571428571,2225759.8158443836,3491989.1709513366,2514073.5225598775,2359823.9493502555,2348300.970542589,,2464818.4760199673,,2206690.1406755545,2886793.234592329,3307823.1526840776,3208763.1834039367,3049157.975806336,2994627.126323622,2940016.518708974,2786728.3122608643,2768843.8864784422,2307851.7917303066,2690802.5283788526
7,0.4285714285714285,,2878190.903853979,,2321236.2706843573,2142488.535134966,2171164.487671605,2573258.4732062807,2512347.6342810444,2212951.428517333,2889038.4710794394,3295646.171309924,3067278.9812530736,2978514.407097383,3377733.35623205,2911111.840700656,2764403.0925868596,2632355.6891219043,2484965.479636068,2819754.595965479
8,0.5,,2872459.787205912,,2326462.3869505175,2323982.743844407,2040461.5625268077,2434457.697690419,2442888.1362204934,2380602.0416364362,2980480.552249555,3336295.6065022727,3132930.8677316518,,3155543.3902781047,2922263.9700868484,,2669223.7308443757,2326154.654797129,2661562.426253866
9,0.5714285714285714,,2904574.588468559,2338608.133840823,2504347.115556412,2318262.0835632444,,2423487.1338525186,2469588.036195363,,3073404.092870275,3055476.6234833603,2857447.4582497966,3032603.5651390906,3461177.6588352183,2737101.859785886,,2548516.2117703906,2347346.571166412,2391735.24304445
10,0.6428571428571428,,,,2583791.3051867373,2321964.9929124545,2207475.4058825974,2581807.0898006,2917633.1711644423,2253485.5712416964,2930446.4165071985,3242685.996692818,2958304.8933156156,,2975468.46337191,2913420.1575753465,2967015.1178575912,2574987.607613868,2256678.806346984,2338501.168212732
11,0.7142857142857142,,2928688.6489873356,,2147793.9646478808,2272290.929533408,2173956.656065393,2530024.1553300307,2438752.5257908977,2152938.1757849148,2935682.464587936,3168121.768215256,2894306.30423861,3123761.9060322396,3139600.6657855534,2968105.4889606624,2787850.149393921,2469180.968713,2276596.345837921,2255974.599652632
12,0.7857142857142857,,3025609.8779341844,2191467.754388818,2220785.46773886,2233181.3598667895,2518429.207633179,2255778.4124517175,2673546.0760907475,2422148.5961570567,2855059.248512925,3152245.355440455,3078052.3134770105,3145218.870831488,3454544.1470000073,2880548.0003488855,2706544.820291931,2546152.956527209,,2415540.7286553453
13,0.8571428571428571,,3190193.5296829,,2304472.3684039745,2466772.7215787247,2357996.599681087,2475262.269925431,,2280541.4545265213,2916673.7607962736,3128337.941720883,2992309.4239964513,3158155.6811336386,3235483.1029000585,2747468.354913617,2693089.7963600433,2575854.38031784,2288955.4439348825,2691843.507788777
14,0.9285714285714284,,2848062.1726043937,,2243757.3940506554,2373125.7254857393,1901073.2866250358,2264271.725012349,2541932.3066544817,2281130.888685236,2898847.347301869,3331561.5338061857,3100578.3487356845,,3101554.0270871795,2697084.937930966,2955871.8259270294,2585514.320461061,2291019.130307701,2654302.9769033687
15,1.0,,2988442.6248697457,2301322.2336971336,2315750.2810714245,2394786.999247299,2030293.3944123308,2606970.4600872584,2547350.6875096075,2316807.5415970413,2897172.691218353,3237899.090379156,3137000.1551786386,,3247635.5432400727,2637876.0275462284,,2678735.506839291,2369225.540405774,2698168.6223021075
16,1.0714285714285714,,3023428.4751962484,,2181714.7227542684,2337128.9439323856,,2449972.2091006124,,2351035.795127284,3028769.532893321,3311803.2828683606,2880412.4753205366,,3131494.9822957646,,,2582432.235292105,2323410.94262227,2554148.153408808
17,1.1428571428571428,,2907588.06584083,,2066161.455438594,2001368.1487062878,2537023.0607766774,2485074.370713893,2641814.8448458435,2330020.823229307,2953163.04658683,3422549.643614026,3103612.0505471234,,3051197.012389903,3139629.232075239,,2617344.298466568,2598586.9804807063,2425139.9861738877
18,1.2142857142857142,,3017420.325074703,2501060.2613344966,2260962.0332744205,2573427.3428437165,2372522.1862509297,2545249.69008915,2506081.778692879,2329591.406073977,2892923.0020333836,3220639.7994231684,2972347.4265960865,,2949573.6788292965,2851833.1793979085,,2704820.4150844673,2390721.5711343875,2391134.442745728
19,1.2857142857142856,,2470644.9880882525,2403879.757093605,2334178.026795113,2358797.3968435964,2294175.7809685515,2345018.7209312394,2798328.445405539,2300228.7478108546,3009980.2369040633,3267289.6598134413,2946290.8834055294,,3042091.8421210684,2843950.9821016593,,2666716.7201303383,2410095.8024208266,2317347.179886584
20,1.357142857142857,,3081407.4217831832,,2337753.5442346963,2207089.9221312655,2048969.1859867028,2366922.818098584,2664128.0633523944,2245690.0559938806,3001089.408258602,3202821.979011829,3130611.299971805,,3392721.793584154,2839040.6470109816,2669613.430591296,2533287.3267496456,2382198.2775099324,2468314.2449800246
21,1.4285714285714284,,3115918.231870838,2377338.0958777773,2181833.787055274,2445264.9956392488,1735590.4551818694,2721357.3991875183,2457553.145120939,2206039.8887655027,2844755.5820579184,3423238.817466032,3232320.452520742,,3343690.174277603,2889163.806562757,3081424.6777801416,2549662.160824239,2533607.6710726116,2752180.84088116
22,1.5,,,,2153729.610851183,2180452.513793002,,2355456.442173842,2300339.5757505936,,2999204.7641168437,3153603.8836759324,3147141.738154829,,3284335.886792598,2829381.9302080907,,2559915.3007634403,2620435.459544969,3001291.504454083
23,1.5714285714285714,,2951836.381956268,,2563573.4034347697,2162419.813967941,2579562.047496485,2402502.668999205,2693773.7989011677,2223758.1809822037,2945334.3034800747,3315932.0545102675,3128192.503183228,,3102359.642584907,2809598.52883764,3047540.327536985,2393778.8494466064,2661254.9927227055,3123775.547476661
24,1.6428571428571428,,2766739.5863880604,,2338340.2593656653,2309836.755824879,2487565.0994350137,2457672.53376422,2652082.8711604443,2325757.8897297424,3023763.932291851,3180762.2331106365,3071870.5923394966,,3328934.712516861,2882616.622685732,2895157.110665862,2520109.176792856,2707747.745549601,2608024.641928821
25,1.7142857142857142,,2776571.001130867,2360043.8904804443,2350158.495485043,2322250.681784514,2546545.2212632173,2463886.8182909116,2754873.335193551,2577732.1794704692,2906425.9828103725,3062474.3442550846,3004950.0231209374,,3313720.71360571,3004197.214288295,3072736.7050264734,2651815.817130051,2665271.2293497054,2482005.8205481335
26,1.7857142857142856,,2863215.6288355193,,2220321.737180674,2504610.5878755655,1905553.6903247247,2366499.789429414,2550414.835996243,2266235.356317113,3010764.3910777825,3309148.847072592,2959419.8836517087,,3033492.74706845,2908377.949388895,,2471754.1336471937,2439385.3516064854,2592320.462133157
27,1.857142857142857,,2838450.613626134,,2397241.7579395087,2296826.2742273486,1971813.6652703027,2473582.4085585685,2738689.206928162,2163084.090904231,2680088.174780142,3239061.3283063057,3175834.988053986,,3054668.089822292,2702461.0009493213,,2504381.2895902176,2302921.6752660326,2974331.5826676264
28,1.9285714285714284,,2800145.660269691,2483201.1643158435,2141177.450580174,2350239.175894153,1965369.4356217738,2750234.6548660845,2622226.3485258766,2191742.0702313175,2896453.9262169227,3223776.100559121,3052568.773922124,,3227209.2807365665,2847640.435785647,,2455402.4855601797,2443075.6947434624,2831986.8603566503
29,2.0,,2928748.885591351,2317366.4690092313,,2457697.590264851,,2267405.361185334,2880016.572725493,,2829595.7185807186,3447081.3805001965,3365003.769366106,,3288929.0519490708,2801772.9888374708,,2374461.1268471405,2536630.4512356105,2603118.7175735245
30,2.071428571428571,,2839299.36166304,2440960.8079653275,2195268.4843785176,2304829.666109813,2332992.9303812105,2318844.7532484205,2722449.1730223643,2261267.929152637,2888191.6126338616,3254751.2262721728,2927317.967729682,,3110907.1045833454,2814123.378474628,,2235166.3798547243,2711468.375395998,2750349.0878041973
31,2.142857142857143,,2823952.458150668,2415513.282982981,2133713.660023162,2302284.123902498,2321031.8980567483,2513944.4624879677,2913520.8930403986,2181234.268839229,2753080.0515455506,3190549.621030706,3178324.7746600956,,3289747.110352888,2892247.880254901,3287404.48179929,2424352.0516511323,2464111.2259857072,2854614.4782919404
32,2.214285714285714,,3078847.4991252106,2342682.283123425,2319720.90629887,2378433.7778455806,2203192.36672012,2243194.597238812,2759225.8300386663,2345256.151859381,2949170.7418950684,3192261.008495402,3173020.5656287023,,3102735.960789392,2776603.707421927,2953294.59925092,2602311.32413498,2486093.1596696144,2616934.6016756766
33,2.2857142857142856,,2822039.4387186635,,2100100.0185786397,2274936.34112633,1971675.9467419032,2181042.985632761,2402122.894118964,2212979.7120348895,2938984.1118169157,3155989.436651165,3041796.5674804477,,3003883.441210276,2871970.218679356,,2708504.002685707,2538778.078127012,2704283.135562906
34,2.357142857142857,,,2470908.4825928034,2131792.813648143,2244328.600282911,1923671.6725720798,2384025.567400402,2706703.335308144,2280889.852027859,3003357.756111091,3219383.4206100735,2796173.3297963515,,3227595.1602529045,2958324.8683123905,,2403759.7169664083,2571440.870627859,2761721.291545343
35,2.4285714285714284,,,2517799.7219555452,2182390.904224373,2362589.0460422947,,2263894.1081019365,2654285.2695065183,2282802.841036113,2815428.286294027,3193437.695362925,3102304.3801963786,,3065343.4205300426,2903483.619630566,,2402437.5896538505,2558303.605848828,2535419.0619278047
36,2.5,,2974518.1932521327,2516815.9846969442,2370779.823459062,2577188.068412739,2476535.2885981896,2352156.803245472,2689219.3057059175,2185369.6625739615,2879790.1118049156,3232666.6323415074,3146338.67708862,,3208993.086131254,2975521.079393965,,2522024.0586113366,2374672.2598197474,2780366.1724029244
37,2.571428571428571,2438585.221588621,3104035.495003117,2254120.660419389,2165075.9213673146,2335597.849762256,2164658.9222360025,2442359.561932673,2335159.9870508662,2314157.0370241883,2799259.3887440795,3335990.6043308266,3076124.4583369913,,3178912.939564861,2945881.7826172486,,2520943.081971724,2563898.2080800985,2906156.972030565
38,2.642857142857143,,,2453321.300005434,2271945.0190291996,2307752.746372265,2208186.107208083,2565639.592104282,2852647.3130893824,2317114.558329951,2730373.0504640145,3246924.2041193773,2892582.140603454,,3026638.0846538274,2929977.1993925893,,2493482.110862239,2512232.997616657,2624162.3653360605
39,2.714285714285714,,2923707.507980143,2283896.7877694382,2051802.7619798821,2356369.8209218,2084644.2421330423,2601401.6487483038,2812404.558234581,2113912.753492465,2869783.676130778,3349625.2034041057,3169316.742638034,,3421302.4858755907,2967057.690047209,,2433058.0722414083,2506535.2380891945,2777453.0052996804
40,2.7857142857142856,2570063.169240319,2851333.1083451854,2202030.232631087,2053143.8804941722,2295126.1990230246,1875132.1883507685,2539436.888653092,2641229.6288976553,2344354.0735673066,2837787.9457976473,3212185.3993934314,3115508.0014560763,,3448136.3059471943,3052118.3824221394,,2502611.0431399806,2716717.778348289,2628905.8359633437
41,2.8571428571428568,,2980230.8663261817,2546410.385331824,2120542.0791232623,2329610.9195423205,1992140.099397948,2553553.927458597,2529006.2914634775,2259831.9111033324,3048020.307867057,3048761.3645649366,2875254.6371858716,,3110602.5019424087,2996283.451290873,,2345062.8557161153,2443892.1247343686,2978369.8213354857
42,2.9285714285714284,,,2354641.581326693,2219352.295968718,2350444.244584649,,2423267.610637872,2488767.148888109,2282716.9585263617,2836659.4714099276,3235300.5999301793,2875412.302675153,,3006019.6159211714,2924435.791997135,,2510188.8340975614,2653107.7566440827,
43,3.0,,,,2353352.923965236,2366755.5108554885,,2441185.306516401,2402259.426253266,2459311.255996247,2879549.962013901,3235773.920787304,3303800.6673177667,,3168004.0949265184,3007595.7984243548,,2348450.086659743,2452160.625661724,2868955.7855534498
44,3.071428571428571,,3054048.8712114887,2487310.9664589604,2144797.7490855064,2646323.575408029,,2316228.6035458236,,2268158.315231417,2836885.979444436,3321858.678684333,3066726.4390065935,,3533508.759192322,2891989.764460883,,2499093.3852760824,2626861.2181020407,2715138.9224874396
