Frame,Time,0001_1,0001_10,0001_4,0001_5,0001_6,0001_7,0001_8,0001_9,0002_1,0002_2,0002_3,0002_4,0002_5,0002_7,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8
1,0.0,,,,2578256.5642897123,,,,,2537101.8017395632,,,,2400338.7121343142,,,,,,,,,,,,,,,,,,
2,0.0714285714285714,,,,,,,,,2337768.1246414576,,,,2281154.663158958,,,,,,,,,,,,,,,,,,
3,0.1428571428571428,,,,,,,,,2414371.0346680917,,,,2362281.1044405317,,,,,,,,,,,,,,,,,,
4,0.2142857142857142,,,,,,,,,2162528.92249574,,,,2376771.1739492966,,,,,,,,,,,,,,,,,,
5,0.2857142857142857,,,,,,,,,2343393.7226735987,,,,2353767.850296954,,,,,,,,,,,,,,,,,,
6,0.3571428571428571,,,,,,,2300737.852314442,,2489293.525784979,,,,2431812.6006582472,,,,,,,,,,,,,,,,,,
7,0.4285714285714285,,,,,,,,,2448931.4191467366,,,,2285569.9866243247,,,,,,,,,,,,,,,,,,
8,0.5,,,,2589506.632723506,,,,,2502944.2003837014,,,,2372242.8360358416,,,,,,,,,,,,,,,,,,
9,0.5714285714285714,,,,2493504.0145492833,,,,,2467982.4376639263,,,,2371627.883054056,,,,,,,,,,,,,,,,,,
10,0.6428571428571428,,,,,,,,,2366682.908782838,,,,2407492.109270276,,,,,,,,,,,,,,,,,,
11,0.7142857142857142,,,,,,,,,2616426.167344998,,,,2372984.5610453277,,,,,,,,,,,,,,,,,,
12,0.7857142857142857,,,,2366269.2478626855,,,,,2327066.848187997,,,,2522779.833498087,,,,,,,,,,,,,,,,,,
13,0.8571428571428571,,,,,,,,,2476742.0304431254,,,,2407966.4967571334,,,,,,,,,,,,,,,,,,
14,0.9285714285714284,,,,,,,,,2348903.2230915097,,,,2375642.201104151,,,,,,,,,,,,,,,,,,
15,1.0,,,2113083.8291213373,,,,,,2357703.9672684595,,,,2385546.042135758,,,,,,,,,,,,,,,,,,
16,1.0714285714285714,,,,,,,,,2570000.8732131994,,,,2464277.1632057163,,,,,,,,,,,,,,,,,,
17,1.1428571428571428,,,,2612804.9421309163,,,,,2294743.078859466,,,,2562962.5705619045,,,,,,,,,,,,,,,,,,
18,1.2142857142857142,,,,,,,,,2598920.5314860223,,,,2399977.09112672,,,,,,,,,,,,,,,,,,
19,1.2857142857142856,,,,2508286.2600303614,,,,,2469834.6776651903,,,,2380692.966418483,,,,,,,,,,,,,,,,,,2450684.183393097
20,1.357142857142857,,,,,,,,,2301055.708550478,,,,2648806.567620629,,,,,,,,,,,,,,,,,,
21,1.4285714285714284,,,,,,,,,2273205.65743564,,,,2588953.39551807,,,,,,,,,,,,,,,,,,
22,1.5,,,,,,,,,2465159.5516996123,,,,2442138.3885840657,,,,,,,,,,,,,,,,,,
23,1.5714285714285714,,,,,,,,,2394998.1546241483,,,,2569137.254345932,,,,,,,,,,,,,,,,,,
24,1.6428571428571428,,,2106305.7969325627,,,,,,2376946.29257953,,,,2248621.8192231245,,,,,,,,,,,,,,,,,,
25,1.7142857142857142,,,,,,,,,2503349.370701952,,,,2234788.286263702,,,,,,,,,,,,,,,,,,
26,1.7857142857142856,,,,,,,,,2400277.021830628,,,,2189762.6663645273,,,,2205165.2171664266,,,,,,,,,,,,,,
27,1.857142857142857,,,,,,,,,2426682.8265453964,,1923874.2114982374,,2531877.8368459814,,,,,,,,,,,,,,,,,,
28,1.9285714285714284,,,,,,,,,2260565.0587709523,,,,2364856.521795527,,,,,,,,,,,,,,,,,,
29,2.0,,,,,,,,,2185312.5817171955,,,,2285274.6708562314,,,,,,,,,,,,,,,,,,
30,2.071428571428571,,,,,,,,,2500953.3410972473,,,,2378194.56294821,,,,,,,,,,,,,,,,,,
31,2.142857142857143,,,,,,,,,2362638.8352175504,,,,2423399.280743955,,,,,,,,,,,,,,,,,,
32,2.214285714285714,,,,,,,,,2181840.801448636,,,,2403480.6666186275,,,,,,,,,,,,,,,,,,
33,2.2857142857142856,,,,,,,,,2370981.4433794282,,,,2529122.566400981,,,,,,,,,,,,,,,,,,
34,2.357142857142857,,,,,,,,,2235177.8601241373,,,,2306517.990712952,,,,2452392.130694941,,,,,,,,,,,,,,
35,2.4285714285714284,,,,,,,2305016.6615183433,,2503545.9580938723,,,,2392115.5711998176,,,,,,,,,,,,,,,,,,
36,2.5,,,,,,,2239831.329037832,,2304622.905256264,,,,2321050.175852946,,,,,,,,,,,,,,,,,,
37,2.571428571428571,,,2086109.6099227013,,,,2239831.329037832,,2276626.8290599403,,,,2376589.3724084017,,,,,,,,,,,,,,,,,,
38,2.642857142857143,,,2086109.6099227013,,,,,,2440896.566155144,,,,2298969.900157982,,,,,,,,,,,,,,,,,,
39,2.714285714285714,,,,,,,,,2411395.678895005,,,,2585658.30527105,,,,,,,,,,,,,,,,,,
40,2.7857142857142856,,,,,,,,,2292210.6422002637,,,,2339972.3597753234,,,,,,,,,,,,,,,,,,
41,2.8571428571428568,,,,,,,,,2436111.0227854806,,,,2464825.678093725,,,,,,,,,,,,,,,,,,
42,2.9285714285714284,,,,,,,,,2366729.2421820895,,,,2276265.1933509964,,,,,,,,,,,,,,,,,,
43,3.0,,,,,,,,,2191023.8264207346,,,,2127903.7845755913,,,,,,,,,,,,,,,,,,
44,3.071428571428571,,,,,,,,,2194569.0187206557,,,,2291307.779895057,,,,,,,,,,,,,,,,,,
45,3.142857142857143,,,,,,,,,2289694.1255368274,,,,2263520.7506983364,,,,,,,,,,,,,,,,,,
46,3.214285714285714,,,,,,,,,2567202.5984793347,,,,2355425.4551851605,,,,,,,,,,,,,,,,,,
47,3.2857142857142856,,,,,,,,,2523580.7138149356,,,,2421691.375477679,,,,,,,,,,,,,,,,,,
48,3.3571428571428568,,,,,,,,,2438724.1202778136,,,,2419170.073114844,,,,,,,,,,,,,,,,,,
49,3.4285714285714284,,,,,,,,,2504509.5644764253,,,,2327464.9905362492,,,,,,,,,,,,,,,,,,
