Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
1,0.0,2327674.0130253388,2948025.563040291,,,2245060.601388045,2321485.00683628,2381271.22524328,2322703.436577387,2627211.2624033745,2331978.2114008428,2694029.7657324956,2642836.047334194,2977098.4213014115,2788036.672949365,,2625833.6662263297,2489099.663280362,2744746.757555844,3470775.8192816065,3221114.808969241,3747977.8204528037
2,0.0714285714285714,,2956505.2203733325,2198073.5490778377,,2528727.321111993,2227431.5054141455,1972969.948182371,2562777.633252455,2453346.3635357628,2224607.5454490418,2398102.3819316486,2669218.4880849943,,2717114.5665915837,3173281.311202377,2668985.533180437,2632088.495832415,2480841.7397510326,3427617.9184355843,3300571.0948727857,3417707.6712705637
3,0.1428571428571428,,3029877.4011817025,2401745.4978643614,,2254695.4121330692,2368663.2197860447,,2290500.9168030093,,,2544264.7532737995,3024719.185811875,2800370.5514621693,2840457.0521627422,2979152.342043386,2675890.5005213674,2430555.7353058327,2602855.976004929,3602031.4478362086,3490161.9291203404,3577729.6270975694
4,0.2142857142857142,,2860970.3536745035,,,2247942.1828135517,2281243.992642671,,2653071.8766325796,2908650.8834200827,2266313.84911671,2584437.524332842,2703748.598510584,2950394.952642427,2798670.432839378,,2362876.6451992774,2491026.796235297,2430917.8479467495,3648733.9676398262,3403447.268537621,3571121.137066204
5,0.2857142857142857,,2959657.506906582,2489422.738074312,,2263590.655701115,2146681.3039645394,2462948.1596046337,2501588.4953266117,2824159.567086927,2183512.658715487,2357537.677961826,2767047.2179082045,3033574.7150935354,2700379.6096738596,2787451.3759475616,2736617.6830194634,2480089.4202885316,2811368.7182811475,3351961.8022261583,3255386.4150899104,3751065.0484492565
6,0.3571428571428571,2225759.8158443836,3491989.1709513366,2514073.5225598775,,2359823.9493502555,2348300.970542589,,2464818.4760199673,,2206690.1406755545,2361058.66486323,2569488.702856915,2994627.126323622,2940016.518708974,2786728.3122608643,2768843.8864784422,2307851.7917303066,2690802.5283788526,3458482.777661859,,
7,0.4285714285714285,,2878190.903853979,,,2321236.2706843573,2142488.535134966,2171164.487671605,2573258.4732062807,2512347.6342810444,2212951.428517333,2292480.4233205016,2754824.1794819846,3377733.35623205,2911111.840700656,2764403.0925868596,2632355.6891219043,2484965.479636068,2819754.595965479,3664731.918847253,2858720.30358214,3364824.7977970256
8,0.5,,2872459.787205912,,,2326462.3869505175,2323982.743844407,2040461.5625268077,2434457.697690419,2442888.1362204934,2380602.0416364362,2367576.7886339617,2595441.767249507,3155543.3902781047,2922263.9700868484,,2669223.7308443757,2326154.654797129,2661562.426253866,3687773.3502620324,,3103181.422462105
9,0.5714285714285714,,2904574.588468559,2338608.133840823,,2504347.115556412,2318262.0835632444,,2423487.1338525186,2469588.036195363,,2382295.6059859246,2647753.6921631387,3461177.6588352183,2737101.859785886,,2548516.2117703906,2347346.571166412,2391735.24304445,3176971.917249819,,3544920.890003648
10,0.6428571428571428,,2387914.3872546493,,,2583791.3051867373,2321964.9929124545,2207475.4058825974,2581807.0898006,2917633.1711644423,2253485.5712416964,2372776.3278620727,2787818.6885817056,2975468.46337191,2913420.1575753465,2967015.1178575912,2574987.607613868,2256678.806346984,2338501.168212732,3154547.3800824266,2798548.8780648387,3699341.987303275
