Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0002_4,0003_1,0003_2,0003_3,0003_4,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0005_4
1,0.0,1913328.4039274147,2248711.692946817,2022192.4319357004,2312756.714334588,1717155.1960458902,,,2359693.1519252704,1904622.9460640142,2167428.8205173826,2690097.7906178003,2609205.7146606757,2471444.615041766,2646507.5654299604,,2682812.920772931,,2683707.910280259,2656317.4678196264
2,0.0714285714285714,2070073.9172859942,1993093.7714814176,,2190277.8615121893,1745516.144060565,2110476.7385850283,,2539976.519616705,2101916.685637059,2113055.729305254,2486699.3291708846,2440486.868687931,2349500.828382089,2972223.971935696,,2474446.9998453516,,2765317.8579617036,2781355.792549358
3,0.1428571428571428,2038002.4379642282,2126166.450975986,2089539.8581859884,2005754.9801850826,1619452.1790477117,2309960.9406306664,,2577141.664929696,2035097.4733542707,2020559.5330046508,2787229.5145870936,2731938.832699709,2517708.1790005923,2571798.291770225,,2416449.398132739,,3019752.7323451815,2749448.969829442
4,0.2142857142857142,2097245.5424794294,2386080.136138505,1978452.494324669,2334881.963615215,1738583.3746792215,,,2423841.86440642,2047527.9400636076,2243504.077991206,2837212.144206427,2710309.7096025106,2445569.243839674,2892049.7042363733,,2566593.5208796966,,2934834.164363647,
5,0.2857142857142857,2081261.9866995844,2183491.723164068,,,1814777.044933848,2314016.0029241485,,2412126.6313497294,,2168027.727347148,2761883.494784634,2599404.2867055526,2586074.5350756207,2790155.402179767,,2549653.2485341495,3037354.0663149105,2850287.2832260574,
6,0.3571428571428571,1979165.6990810991,2066066.2447105614,,2198160.3267056104,1786737.8943329975,,,2281973.1619691905,1839814.7609919454,2229841.9714724175,,2465047.0509029278,2579975.03432852,2944197.358570064,,2473241.49537098,2882192.613033267,3059313.6653152327,
7,0.4285714285714285,1844448.8024136382,2073937.2169189835,,2310949.8582664947,1548168.8371876345,,,2519754.9079270717,1922155.868640706,2133446.4829571694,,2545037.892285489,2653513.1636955338,2806645.871203072,,2659240.027399925,,2832099.7922400795,
8,0.5,1894904.2292976098,2328320.3789825803,,,1789100.6175921499,,,2560596.2246444933,1979675.3369286328,2142304.5797314807,2555043.944386978,2471854.52606389,2540725.8634660076,,,2451339.6236765767,2995988.593330893,2785353.5178591395,
9,0.5714285714285714,2147616.7104437947,2211306.686822841,1968815.2018728303,2134302.5744839474,1774760.9065407475,2136651.3142179567,,2265153.376590825,1842521.2045425023,,2362713.1956984713,2773994.5884416397,2388379.911437817,3064107.82114034,2954571.2774639553,2690388.0189272612,2970117.5777649363,2887327.6643221104,2869210.9389256747
10,0.6428571428571428,1985705.5769568337,2220205.9879955063,,2260090.996913505,1623921.0750300912,2319357.597233038,,2268009.29761318,1972398.0419937521,2011940.964794649,2469623.2843920533,2639838.162077733,2570986.488118167,2744919.39963191,,2671943.4769881656,2939459.784556959,2768256.0218419847,
11,0.7142857142857142,2035807.1029281465,2271175.000434609,,,1699859.2225039012,,,2391555.912756948,2102896.6190502513,2249837.7358842525,2284601.2832058333,2782836.4120557285,2534398.693745872,2709971.300884993,2508036.182089897,2883189.464769319,2995771.0210681977,2950481.419626098,2477944.9467894426
12,0.7857142857142857,1778811.707120367,2306723.3283273294,2010665.049989364,2175244.46147543,1924167.196319435,,,2292308.4102407983,1983207.056881935,2215679.2457212457,2665338.0113656414,2585671.316611354,2721037.816615719,2640763.823665647,,2350943.050739948,,2957071.1674575964,
