Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
1,0.0,,,2341559.9254834023,,,2207102.9852863746,,,2093198.574348112,1711634.7815135191,1982075.5151134836,1687995.6738979574,,1888013.6767721367,,1667307.0979520667,,
2,0.0714285714285714,,,2472815.5675653,,,2216276.2851709966,1766876.1496505947,,,1442591.967866832,2092059.903245234,2053909.4634928359,,2183582.493934504,,1751099.2815568373,,
3,0.1428571428571428,1899492.111075599,,,,,2377924.479359355,,,,1758701.907251805,2058114.2059786345,1848584.0049370532,,2052608.199732689,,1677809.451101886,1831041.3821009616,
4,0.2142857142857142,,,2183087.8227786557,,,2298547.2369525237,,,2079005.5805632614,1631835.6066234831,2188461.3759593875,1756471.1143151608,,1933329.7705175772,,1710684.6476991381,,
5,0.2857142857142857,1763250.4616316487,,2168977.0077649294,,,2239861.434299268,1849131.0324920982,,1993294.6875566843,1447620.2385176318,2117386.5486313417,1791763.9406541274,,1954139.5835033262,,1833911.122508188,2180169.7257030294,
6,0.3571428571428571,,,2192576.7711165063,,,2269343.1828616685,1765414.0610603935,,,1668150.0244414923,1986446.1166832282,1853264.9892592728,,2007454.2878383459,,,1991724.3698532037,
7,0.4285714285714285,,,2358566.3760458585,2039017.0043951855,,2200640.7163671916,1933292.2696561853,,2080051.896740619,1778357.5321736273,2034281.3430410854,1972563.485437745,,1910253.2359057341,,,2166108.7763692467,
8,0.5,,,,1988307.5883954149,,2291314.5499573913,1826148.0475915738,,2014166.9879322648,1543671.107561442,1844639.316631851,1899080.4767738564,,2031028.9036406719,,1857228.066914258,2192994.042872612,
9,0.5714285714285714,,,,1969813.4626504232,,2118565.080108161,1945570.3910697047,,2059836.5788481834,1516829.37677539,2160121.653425367,1897885.0825604077,,2004080.1566691934,,1752083.867536084,,
10,0.6428571428571428,,,2291474.322046221,1969813.4626504232,,,,,2149536.826365391,1584532.297543328,1964180.5486487933,2199240.631060893,,1984465.0119496037,,1838393.8164772831,,
11,0.7142857142857142,,,2045002.612272598,2019396.0702780718,,2119765.1505903113,1830809.644339083,,2061921.8439940235,1603755.1535282987,2113442.2792354804,1758076.2721620484,,1865796.549719008,,1844371.8188361193,,
12,0.7857142857142857,,,2402300.5708720363,2125156.2116777864,,2078466.129819488,1922703.4278921254,,,1562090.8048189688,1938680.3076856004,1856061.0375925326,,1695667.9682341414,,1803596.3513893355,2159931.785714694,
13,0.8571428571428571,,,2137448.1682381136,,,2128582.272914531,1930411.0346341252,,,1546802.8730921503,1889517.5001446481,1806708.287534479,,2065949.7979898676,,1719775.792673048,2131429.2732853265,
14,0.9285714285714284,,,2250904.1637947108,,,2289105.1968196123,1853500.6438938612,,,1759061.4680492163,1988325.1345279983,1698797.77974943,,1973935.8582506857,,1758599.466520864,,
15,1.0,,,2354033.5756462915,,,2491553.4669677312,,,,1725740.2142839038,2112361.273999546,1683048.729909995,,1911253.3958517516,,1642875.3372721826,,
16,1.0714285714285714,,,2104196.084120844,,,2073491.7404115214,1917877.3970452137,,,1622384.4508649332,2182801.0320519414,1818083.5430029624,,2046046.5600754777,,1780541.7440108205,,
17,1.1428571428571428,,,,,,2224396.2124502664,1912014.3908439274,,1847379.3831747838,1716426.9674150061,2214850.3691957463,1815789.615902352,,1876328.134089485,,1844955.9310080712,,
18,1.2142857142857142,,,1960033.3547801264,2250529.127834905,,2368719.1002779496,1794725.6933161763,1897549.9528334928,2141195.0630370085,1689491.729869618,2073562.9110544282,1734253.911132267,,1915748.6617754763,,1682103.7092607333,2169642.9903707206,
19,1.2857142857142856,,,2008695.0564423788,,,2306690.1234704154,1741267.913234966,,,1692408.1157729537,2187023.7980723693,1692859.1019855482,,1764034.5922991708,,,2195406.500585538,
20,1.357142857142857,,,2009574.4767029183,,,2457408.064962101,1926018.0384979933,,2024876.6348993892,1560049.4782691386,2049586.5439839368,,,1967598.5050870234,,1770508.8129957225,,
