Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
1,0.0,,2430601.1503007733,2722306.499209493,,2298564.133936368,,,,2518392.220375243,,3050959.7919881954,
2,0.0714285714285714,,2502852.6090726196,,,2112660.3014223594,,,,,,2961773.96059597,
3,0.1428571428571428,,2502911.4834100907,,,2370342.909218537,,,,,,3053004.3165926915,2864315.64462075
4,0.2142857142857142,,2674486.9011718626,,,2211916.370977002,,,,2531784.123097123,,2997290.720354608,
5,0.2857142857142857,,2439341.4041350684,,,2017043.440051384,,,,,,3204666.3044662424,
6,0.3571428571428571,,2381845.2588203694,,2178598.578987189,2212315.3965208638,,,,,,3083644.7790179173,2734928.2051774277
7,0.4285714285714285,,2582092.247511369,2682734.3711799774,,1920690.9308845124,,,,,,,
8,0.5,,2629122.5943863196,,,2049679.425116467,,,,,2153123.8712927587,2832465.7789991093,2771828.3369443
9,0.5714285714285714,,2639030.134723124,,,2248821.7401421433,2379402.914814442,,,,,3157422.041708584,
10,0.6428571428571428,,2477387.9281559433,2794942.006559123,2131586.0017910213,2161557.0840266584,,,,,,2754330.5088663907,
11,0.7142857142857142,2261005.2794243596,2612067.3167251055,,2162398.1697624335,2170988.5028630774,,,,,,3099056.229759689,
12,0.7857142857142857,,,,,2234897.4047157257,2389027.5035930504,,,,,3321866.9000628106,2757649.627176461
13,0.8571428571428571,,2660816.71021386,,,2051973.059868783,,,,,,3109444.52057298,2814326.6688248236
14,0.9285714285714284,,,,2066345.2070356722,2077775.0531834527,,,,,2188416.142060618,,2796466.7994943596
15,1.0,2288774.4484530785,2637777.6528741843,,2185047.0620367522,2109934.0906716906,,,,,,3013498.61683069,
16,1.0714285714285714,,2553281.7851410857,,,2058802.4978404304,,,,,2223524.539141657,,
17,1.1428571428571428,,2445746.0641710996,2755348.899554735,2126390.9878423223,2256666.016311532,,,,,,,
18,1.2142857142857142,,2581650.4180398188,2808478.527022492,,2245709.076578197,,,,,,,
19,1.2857142857142856,,2700106.5213569514,,,2222705.6171812136,,,,,,,
20,1.357142857142857,,2624463.190789597,,,2311492.08873209,,,,2515357.754566481,2230008.8115476985,3335529.017310112,2651280.6201719088
21,1.4285714285714284,,2561354.604224252,2773958.630677915,2165174.6662100796,2064491.0772741204,,,,,2155239.687985727,,2793944.0941772247
