Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0002_1,0002_2,0002_3,0002_4,0002_5,0002_6,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_8,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_8,0007_1,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0007_9
1,0.0,,2554512.684333752,,,,,,,,2960624.306328054,,2962086.463016244,3038431.3002295014,,,2604826.47487448,,2398038.0929847555,,,,,,,,,,,,,,,,,,,,,,,,2679172.0534894112,3082637.4214188145,,3258876.9949075533,3154166.39472311,2800762.1926565752,,3013832.6537344386,,2621905.960880122
2,0.0714285714285714,,2855303.99028345,,,,,,,,2997027.2472910546,,2809964.0029744105,3182786.8733400507,,,,,2517638.2163451333,,2739688.332814874,,,,,,,,,,,,,,1552620.7817851044,,,,,,,,,3068996.7585062278,,3185731.1400094815,3195307.788993815,3281666.234101582,,3027732.0154758133,,2509414.450670342
3,0.1428571428571428,,2548694.295521682,2564552.4595090444,,,,,,,3138083.490022264,,,3036175.140312717,,,,,2866524.6686375444,,2989537.047088052,2890160.2850071723,,,1590915.0872338014,,,,,,,,,,,,,,,,,,2780560.4650559262,3174637.08260801,,3162342.0412675533,3194951.88685374,3392581.672301965,,2870895.354126098,,2380440.2244532574
4,0.2142857142857142,,2867480.93391966,,,,,,,,3120139.1665677642,,,3098131.2720271526,,,,,,,2855011.2115515806,,,,,,,,,,,,,,,,,,,,,,2734798.251280889,3348759.083415213,,3070741.441728721,3137616.2322321977,3230308.303431626,,,,
5,0.2857142857142857,,2728055.37546796,,,,,,,,3007885.8109591044,,,2940076.0318370727,,,,,,,2809331.2937545367,3034794.7116611064,,,,,,,,,,,,,,,,,,,,,2852290.1119691585,3062772.0220795977,,2810158.815896426,3201915.2257762863,3315266.8602865534,,3011064.957260658,,2449480.7115560584
6,0.3571428571428571,,2620358.947593488,2567924.541143286,2584592.6356123737,,2693824.8635473344,,2653237.929436587,,,,2799939.317398174,3560818.4175932994,2351881.8882415816,,,,2453810.23186211,,2877015.4553552484,,,,,,,,,,,,,,,,,2208845.457343007,,,,,,3173430.852198215,,2891368.607143539,,3517040.6508666785,,3131634.4115202017,,2528404.6173369363
7,0.4285714285714285,,2547220.113272155,2355478.2251480594,,,,,2624695.1012749346,,3083926.631268202,,2698216.7220413387,3159287.797357002,,,,,,,2975063.086135487,2935656.9906940833,,,,,,,1315358.8348973903,,,,,,,,,,,,,,2796801.990608096,3204287.0182060567,,2638917.7579906643,,3204524.1078929417,,3217227.1038122615,,
8,0.5,,2662657.942342801,,2714400.2427706635,,,,,,,,2594460.2675059065,3222620.989892593,,,,,2805350.1743012615,,,,,,,,,,,,,,,,1719731.0927231738,,,,,,2690315.626500527,,3109858.5152030527,3146043.944083409,,3131681.590916408,3155978.7143950094,3053630.7408651705,,3265186.7462248844,,
9,0.5714285714285714,,2729325.6575165805,,2745083.959425166,,,,2673214.4567511054,,3039149.0583479786,,2490641.4456491787,3238331.6497880663,,,,,2599573.4467571583,,2939001.705318935,,,,,,,,,,,,,,,,,,,,,,3013113.4138789624,3068959.652745018,,,3194318.9151128773,3361999.417283497,,3175289.041235956,,2609087.831624807
10,0.6428571428571428,,2739376.7254615827,2438810.17405503,,,,,,,3043398.535678014,,,3129883.8689098996,,,,,2807164.656520705,,,,,,,,,,,,,,,,,,,,,,,,3000055.467074637,3014595.45289803,,,2802877.085237563,3453186.516255777,,2974674.583365702,,2490512.159343945
11,0.7142857142857142,,2710671.633690769,,,,,,,2234702.7824562364,,,,2973024.8046937683,,,,,,,2964316.5769852633,2863604.1510509267,,,,,,,,,,,,,,,,,,,,,,3067297.1684026914,,3297550.8576457095,2627303.4212062815,3076952.2031216896,,2923072.386657555,,
12,0.7857142857142857,,2557154.6919464194,2542727.818412273,,,2495537.3874073448,,,,,,3023102.034582377,3328213.4202580666,,,,,2566538.254492998,,,3006996.049312697,,,,,,,,,,,,,,,,,,,,,,3441080.489456172,,2954823.4048657105,2619085.5342813623,3311914.731007699,,3057061.098787334,,
13,0.8571428571428571,,2319584.9316126434,,,,,,2622908.7472606986,,2987795.796546978,,2804257.449984603,3323805.8559620767,,,,,2297321.511178179,,2933175.103926395,,,,,,,,,,,,,,,,,,,,2751759.180859447,,,3220250.5664728666,,3082864.2170787877,3072320.3830802576,3491707.7403154084,,3173930.1014842405,,2601598.8352630343
14,0.9285714285714284,,2520487.4823785555,,,,2675181.407894402,,,,,,2982953.10736569,3082838.8629262317,,,,,2612465.6018785997,,2708342.0703935553,,,,,,,,,,,,,,,,,,,,2750399.3720727037,,,2992743.0218907082,,2956901.1939808843,3269247.7632779647,3402429.4487854457,,3087370.461491293,,
15,1.0,,2556378.810464868,,,,2557240.9749739375,,,,,,2919185.752441612,3208578.0607455503,,,,,,,2803963.987907151,,,,,,,,,,,,,,,,,,,,,,,3289998.019823071,,3207693.335444641,3077714.5483846874,3121244.6604250707,,3131405.696798117,,
16,1.0714285714285714,,2717482.5711166644,,,,2660153.229740727,,,,,,3028026.8243692187,3363304.7016913104,,,,,,,2846870.5584317977,,,,1686222.7062455222,,,,,,,,,,,,,,,,,,2992730.604376716,3032357.1648138673,,3202103.745917281,,3299166.991777751,,2995564.946967209,,
17,1.1428571428571428,,2678315.0701899724,,,,,,,,3113480.3347527883,,2969320.686703082,3103863.8912414387,,,,,2421568.497867417,,2547681.73512588,,,,,,,,,,,,,,,,,,,,,,3087176.367844714,3066533.344848422,,3319916.837129146,2867232.28409893,3258602.9546460286,,3096198.497419294,,
18,1.2142857142857142,,2485089.164518007,,2738569.3661175393,,2576028.808681085,,2620600.0949998447,,3081316.921305443,,2904531.386741095,3089572.588039956,,,,,2803516.2261789045,,2944002.438550928,,,,,,,,,,,1503669.7127787736,,,,,,,,,,,3016892.145533024,3016007.276024072,,3060769.1543260603,2743630.6967695314,3335109.908017504,,3046596.341670197,,
19,1.2857142857142856,,2488106.5049257586,,,,,,,,,,2739148.324422712,3075110.6218415806,,,,,2862020.1615841566,,,,,,,,,,,,,,,,,,,,,,2600042.9426763044,,2131581.153324945,3143112.416644923,,2936072.076924251,3200258.7081959504,3345737.7327947067,,3145215.9972379063,,2588959.633121003
20,1.357142857142857,,2642143.537424122,,2748385.85217158,,,,,,3176277.2689813264,,2657999.57727781,3157238.6548078423,,,,,2551075.681000107,,2837734.501436542,,,,,,,,,,,,,,,,,,,,2647136.8012363343,,2921116.5843931655,3025190.8590389537,,,2930641.531644215,3407141.6694193757,,2881847.686056811,,
21,1.4285714285714284,,2813832.312164519,2543519.482162932,,,,,,,3008451.143051685,,2657999.57727781,3084133.088146179,,,,,2853699.9515761007,,2766196.2269606274,,,,,,,,1803713.8788118127,,,,1389321.0704446852,,,,,,,,2575164.376210704,,2696253.370868732,2924165.7669544984,,3284623.849589326,3237466.758011619,3433610.3461779263,,3306651.377858161,,2622388.9196576322
22,1.5,,2838755.853618496,2395455.601582948,,,,,,2285218.095876467,2917399.8039278775,,2623847.0022643595,3240244.9702082598,,,,,2546812.8789194,,,,,,1738432.1134259652,,,,1733258.902771812,,,,,,,1642180.5440810416,,,,,,,2522798.331567034,3083603.0902577243,,3234966.3765728096,2973507.0123685384,3532940.576498103,,2939683.4734797976,,2574250.9263520516
23,1.5714285714285714,,2603976.3708164482,2498300.1098019932,,,,,2622225.2895092173,,2979547.5219353647,,,3135605.5404097564,,,,,2647296.4928446645,,3009229.207835445,,,,1462951.2162646316,,,,,,,,,,,,,,,,,,,3019572.928365143,,3127638.408546741,3057922.685286212,3345439.439794906,,3110644.3312605736,,2609557.607158221
24,1.6428571428571428,2339111.595269312,2570531.907554731,2205983.4993931702,,,2691181.9580725385,,2630214.587421549,,,,,3110780.5742409523,,,,,2635085.840538956,,2814335.26077424,,,,,,,,1733258.902771812,,,1414226.037692794,,,,,,,,,,,3076928.123772084,3051153.010683977,,3352189.7715126676,3096412.716509767,3441706.874119987,,2946338.0873253006,,2593724.1192801762
25,1.7142857142857142,,2646014.0315269493,2429188.9726596815,2707468.93882964,,2530257.201551693,,,,2910936.099770364,,,3189713.4000111194,,,,,2440325.4111448405,,,,,,,,,,1733258.902771812,,,1414226.037692794,,,,,,,,,2766672.4359675404,,,2892956.3812068067,,,3242394.787844374,3240109.092158024,,3101098.976805172,,
26,1.7857142857142856,,2733343.3483748985,2392380.804253488,,,,,,,,,,3210575.582826932,,,,,2269695.1789069655,,,,,,,,,,1733258.902771812,,,,,,,,,,,,,,,2991037.629032015,,3014204.3481393727,3192641.3796491446,3389848.8660850087,,3232109.2993493355,,2566939.0149731827
27,1.857142857142857,,2618547.113718129,,,,,,,,3146662.734587037,,,3307576.1819681474,,,,,,,2681132.6276208954,,,,,,,,1695506.8993617217,,1913844.4671916908,,,,,,,,,,,,,3073019.404243928,,3198884.6691142814,2954715.464754408,3415673.311781597,,2975242.1706497283,,2566103.8523622816
