Frame,Time,0001_1,0001_3,0001_4,0001_5,0001_6,0002_1,0002_3,0002_4,0002_5,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8
1,0.0,,,2144011.543328515,,,,,2107275.6069769897,,,,,,,2550540.183137395,3060319.1978416736,
2,0.0714285714285714,,,2118401.897805188,,,,,,,,,,,,2668192.1631070697,3653283.4738452756,
3,0.1428571428571428,,,2083271.0713897238,,,,,,,,,,,,2369445.4840378086,3616452.9483176293,
4,0.2142857142857142,,,2371588.089811509,,,,,,,,,,,,2654203.1401984165,3633910.593772546,
5,0.2857142857142857,,,2120828.309052292,,,,,2204375.672032692,,,,,,,,3491280.107038082,
6,0.3571428571428571,,,2471975.4510895475,,,,2380856.2853704197,2121182.5699161375,,,,,,,2326224.26456454,3694850.3734961106,
7,0.4285714285714285,,2254404.607838448,2328832.7357036956,,,,,2168177.8354877173,,,,,,,2230285.6334776464,3717530.4521088083,
8,0.5,,,2046744.4029256573,,,,,,,,,,,,2783995.065666465,3569148.0991457254,
9,0.5714285714285714,,,2126460.549132642,,,,,,,,,,,,,3753255.936298967,
10,0.6428571428571428,,,2043929.5696131948,,,,,2053221.6700035485,,,,,,,2569390.9764417335,3759956.2564443885,
11,0.7142857142857142,,,2228582.359988511,,,1964536.9680802685,,2216177.818911492,,,,,,,2626163.643339405,3481638.5050378116,
12,0.7857142857142857,,,2244374.418163892,,,,,2199283.7741708793,,,,,,,2542395.9230412184,3737499.9119877117,
13,0.8571428571428571,,,,,,,,1988652.6048444181,,,,,,,2548092.2068560324,3527937.7737565734,
14,0.9285714285714284,,,2542046.314342271,,,1853042.0650349762,,1989452.5157195046,,,,,,,2350418.9800424166,3476444.8323574895,
15,1.0,,,2230936.008107584,,,,,2104334.463435274,,,,,,,2269760.436874907,3546239.2889925386,
16,1.0714285714285714,,,2146210.2243235093,,,,,,,,,,,,2756240.4419060326,3606091.075937901,
17,1.1428571428571428,,,1977406.5164220317,,,,,2165862.6460232283,,,,,,,2647728.621353654,3706326.2985573723,
18,1.2142857142857142,,,,,,,2434326.8668067204,,,,,,,,2588856.624037848,3509385.2349774297,
