Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_1,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_10,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0004_9
1,0.0,,,,,1319875.2802939117,,,,,,,,,,,,,,,,,,,,,,,,,1812571.9598655188
2,0.0714285714285714,,,,,1222801.1418041717,,,,,,,,,,,,,2746576.020662521,,,,,,,,,,,,
3,0.1428571428571428,,,,,1462124.2786797713,,,,,,,,,,,,,2526073.2004489377,,,,,,,,,,,,
4,0.2142857142857142,,,,,1405490.9104782115,,,,,,,,,,,,,2799194.524884307,,,,,,,,,,,,
5,0.2857142857142857,,,,,1285626.056621307,,,,,,,,,,,,,2549397.6899949606,,,,,,,,,,,,2281130.6531530516
6,0.3571428571428571,,,,,1275181.9931318876,,,,,,,,,,,,,2710718.8761324193,1923851.9542441922,,,,,,,,,,,2515706.2997222645
7,0.4285714285714285,,,,,1097768.5117793295,,,,,,,,,,,,,2727444.6529622795,,,,,,,,,,,,2378252.195441703
8,0.5,,,,,1344791.109637129,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.5714285714285714,,,,,,,,,,,,,,,,,,2654995.9587897793,,,,,,,,,,,,
10,0.6428571428571428,,,,,1423162.3014908847,,,,,,,,,,,,,2834762.9481338514,,,,,,,,,,,,
11,0.7142857142857142,,,2204160.8721362515,,1434811.2108319886,,,,,,,,,,,,,2720175.595853067,,,,,,,,,,,,
12,0.7857142857142857,,1577775.2168349382,2113611.271766588,,,,,,,,,,,,,,,2672460.7162708663,,,,,,,,,,,,
13,0.8571428571428571,,1627106.9139100756,,,1359838.1503293405,,,,,,,,,,,,,2834765.0034106774,,,,,,,,,,,,
14,0.9285714285714284,,,,,1291548.4609040623,,,,,,,,,,,,,2894636.978978525,,,,,,,,,,,,
15,1.0,,,,,,,,,,,,,,,,,,2804340.947399102,,,,,,,,,,,,
16,1.0714285714285714,,,,,1218412.1745599739,,,,,,,,,,,,,2819961.528933606,,,,,,,,,,,,
17,1.1428571428571428,,,,,1099862.0917648494,,,,,,,,,,,,,2697410.856068873,,,,,,,,,,,,
18,1.2142857142857142,,,2154126.5544885644,,1281177.0523902439,,,,,,,,,,,,2612720.9462281447,2718522.824217138,,,,,,,,,,,,
19,1.2857142857142856,,,,,,,,,,,,,,,,,2627274.082537704,2772730.6105359932,,,,,,,,,,,,
20,1.357142857142857,,,,,,,,,,,,,,,,,2625703.272780917,2623615.75785609,,,,,,,,,,,,2356268.517766704
21,1.4285714285714284,,1638056.6869380728,,,,,,,,,,,,,,,,2572219.947080024,,,,,,,,,,,,2521769.1144109764
22,1.5,,,,,,,,,,,,,,,,,2497504.2409146233,2455783.0206275755,,,,,,,,,,,,
23,1.5714285714285714,,,,,,,,,,,,,,,,,2427673.9222310646,2650303.4833665593,,,,,,,,,,,,
24,1.6428571428571428,,,,,1175137.126187092,,,,,,,,,,,,2428981.184170597,2510279.5301028993,,,,,,,,,,,,
25,1.7142857142857142,,,,,1242391.7225907987,,,,,,,,,,,,,2510279.5301028993,,,,,,,,,,,,
26,1.7857142857142856,,,,,,,,,,,,,,,,,,2435744.1093334532,,,,,,,,,,,,2344810.7874739687
27,1.857142857142857,,,,,1347605.0434263505,,,,,,,,,,,,,2724475.361107005,,,,,,,,,,,,2436937.5082938736
28,1.9285714285714284,,,,,1274086.5900627675,,,,,,,,,,,,,2751122.663072248,,,,,,,,,,,,2409808.1145792212
29,2.0,,,,,1188806.7149174225,,,,,,,,,,,,,2910262.562026161,,,,,,,,,,,,2409650.5232177465
30,2.071428571428571,,,,,970105.1502914308,,,,,,,,,,,,2559718.333634226,2697531.4548575673,,,,,,,,,,,,2464625.2497266154
31,2.142857142857143,,,,,,,,,,,,,,,,,,2731430.6140402295,,,,,,,,,,,,2452333.8806721354
32,2.214285714285714,,,,,1406116.0992258843,,,,,,,,,,,,,2771162.0161949038,,,,,,,,,,,,
33,2.2857142857142856,,,,,,,,,,,,,,,,,,2666499.291541156,,,,,,,,,,,,2501126.7148180455
34,2.357142857142857,,,,,,,,,,,,,,,,,2516922.0295189237,2803068.6120464318,,,,,,,,,,,,
35,2.4285714285714284,,,,,1447456.8540105356,,,,,,,,,,,,2416885.6681764964,2806725.4392205956,,,,,,,,,,,,
36,2.5,,,,,1241962.9709692278,,,,,,,,,,,,2407998.4098527487,,,2044290.007202436,,,,,,,,,,
37,2.571428571428571,,,,,1286808.3909558605,,,,,,,,,,,,2526438.2975536804,2795177.616300614,,1996574.686544581,,,,,,,,,,
38,2.642857142857143,,,,,,,,,,,,,,,,,2636983.2825540025,,,,,,,,,,,,,
39,2.714285714285714,,,,,1442026.197503541,,,,,,,,,,,,,2602761.94261706,,,,,,,,,,,,
40,2.7857142857142856,,,,,1299862.1806030879,,,,,,,,,,,,,2829574.8245953717,,,,,,,,,,,,2440893.918558942
41,2.8571428571428568,,,,,1168806.458861543,,,,,,,,,,,,,2884386.7674441286,,,,,,,,,,,,
42,2.9285714285714284,,,2125685.6145955897,,,,,,,,,,,,,,,2818551.21006576,,,,,,,,,,,,
43,3.0,,,,,1353778.331983285,,,,,,,,,,,,,2617714.4902222506,,,,,,,,,,,,
44,3.071428571428571,,,,,,,,,,,,,,,,,,2760097.751070422,,,,,,,,,,,,
45,3.142857142857143,,,2143848.110150959,,1414225.798175081,,,,,,,,,,,,,2751384.308775413,,,,,,,,,,,,2470149.0726551157
46,3.214285714285714,,,,,,,,,,,,,,,,,2621354.6439593397,2733921.5495928475,,,,,,,,,,,,
47,3.2857142857142856,,,,,,,,,,,,,,,,,2643587.2310592183,2596093.3669257453,,,,,,,,,,,,
48,3.3571428571428568,,,,,1407143.594504566,,,,,,,,,,,,,2646644.138262307,,,,,,,,,,,,2502487.892879535
49,3.4285714285714284,,,,,1289300.6737902288,,,,,,,,,,,,,2588738.4603812858,,,,,,,,,,,,2444797.329434873
50,3.5,,,,,1385015.22314248,,,,,,,,,,,,,2560421.461982823,,,,,,,,,,,,2292666.326448343
51,3.571428571428571,,,,,1386723.9423148981,,,,,,,,,,,,,2493370.0542006325,,,,,,,,,,,,
52,3.642857142857143,,,,,1394992.959331627,,,,,,,,,,,,2603279.7745101694,2422374.530669033,,,,,,,,,,,,
53,3.714285714285714,,,,,1281022.2077871738,,,,,,,,,,,,2414922.955930939,2760064.6189153567,,,,,,,,,,,,
54,3.7857142857142856,,,,,,,,,,,,,,,,,2190507.5991022987,2699812.7195491665,,,,,,,,,,,,
55,3.8571428571428568,,,,,,,,,,,,,,,,,2169109.6048335,2842589.9927900424,,,,,,,,,,,,2382540.7798167765
56,3.928571428571429,,,,,,,,,,,,,,,,,,2618501.72761716,,,,,,,,,,,,2345800.5721685127
57,4.0,,,,,,,,,,,,,,,,,2150155.435254888,2682068.1960454653,,,,,,,,,,,,
58,4.071428571428571,,,,,,,,,,,,,,,,,2371676.1590384203,2359687.75184347,,,,,,,,,,,,
59,4.142857142857142,,,,,,,,,,,,,,,,,,2339165.402951367,,,,,,,,,,,,2484907.2753197453
60,4.214285714285714,,,,,,,,,,,,,,,,,,2642104.4059597887,,,,,,,,,,,,
61,4.285714285714286,,,,,1297017.4326592714,,,,,,,,,,,,,2728339.283008757,,,,,,,,,,,,2508229.656874206
62,4.357142857142857,,,,,1157166.608721296,,,,,,,,,,,,2574409.5156925754,2565591.850133633,,,,,,,,,,,,
63,4.428571428571428,,,2164627.897926985,,1416571.7655077504,,,,,,,,,,,,2477994.8179503973,2726114.5870531052,,,,,,,,,,,,2442047.853465289
64,4.5,,,2178368.6675312747,,1344506.1739025952,,,,,,,,,,,,2393532.204865166,2711570.811794225,,,,,,,,,,,,2513703.847380792
65,4.571428571428571,,,,,1323297.4841444318,,,,,,,,,,,,2353855.3229126283,2709748.456517013,,,,,,,,,,,,
66,4.642857142857142,,,,,1395010.8920859243,,,,,,,,,,,,,2720414.1393668563,,,,,,,,,,,,2512525.057824584
67,4.714285714285714,,,,,,,,,,,,,,,,,2403470.883609807,2780770.3517114553,,,,,,,,,,,,2434262.8999612103
68,4.785714285714286,,,,,,,,,,,,,,,,,,2763402.780458498,,,,,,,,,,,,
69,4.857142857142857,,,,,1317367.600374635,,,,,,,,,,,,,,,,,,,,,,,,,2444247.42356658
70,4.928571428571428,,,,,1407265.0368959252,,,,,,,,,,,,,2740537.495918309,,,,,,,,,,,,2519446.8131342684
71,5.0,,,,,1326765.0673367747,,,,,,,,,,,,,2745489.7120890515,,,,,,,,,,,,
72,5.071428571428571,,,2196531.77370639,,1417684.7636773246,,,,,,,,,,,,,2632596.1682372745,,,,,,,,,,,,2495300.8626988656
73,5.142857142857142,,,,,1336348.1474440445,,,,,,,,,,,,,2606524.3239791547,,,,,,,,,,,,
74,5.214285714285714,,,2151255.385233438,,1322582.4447272108,,,,,,,,,,,,,2678619.006354113,,,,,,,,,,,,
75,5.285714285714286,,,,,1353519.909225933,,,,,,,,,,,,,2274111.2599844225,,,,,,,,,,,,
76,5.357142857142857,,,,,1314303.640425016,,,,,,,,,,,,,1907380.1338264237,,,,,,,,,,,,2441300.1182984835
77,5.428571428571428,,,,,1345516.965215423,,,,,,,,,,,,2586928.9473780915,,,,,,,,,,,,,
78,5.5,,,,,,,,,,2358386.627032433,,,,,,,,,,,,,,,,,,,,2305885.3406792684
79,5.571428571428571,,,,,1345989.3688753115,,,,,,,,,,,,,,,,,,,,,,,,,2502767.101513069
80,5.642857142857142,,,,,,,,,,,,,,,,,,2780865.9787884117,,,,,,,,,,,,
81,5.7142857142857135,,,2119237.4786428404,,1394129.3792929158,,,,,,,,,,,,,2796318.274265968,,,,,,,,,,,,
82,5.785714285714286,1442789.224581975,,,,1461721.7158967764,,,,,,,,,,,,,2788347.8315388444,,,,,,,,,,,,2407357.7992732218
83,5.857142857142857,,,,,,,,,,,,,,,,,,2761300.3764638873,,,,,,,,,,,,
84,5.928571428571428,,,,,,,,,,,,,,,,,,2570177.5698093805,,,,,,,,,,,,
85,6.0,,,,,,,,,,,,,,,,,,2482277.883173235,,,,,,,,,,,,
86,6.071428571428571,,,,,,,,,,,,,,,,,,2695406.0476690033,,,,,,,,,,,,
87,6.142857142857142,,,,,,,,,,,,,,,,,,2676065.11984781,,,,,,,,,,,,
88,6.2142857142857135,,,2143835.602238444,,,,,,,,,,,,,,,2536190.7701946185,,,,,,,,,,,,
89,6.285714285714286,,,2160138.8176917788,,,,,,,,,,,,,,,2626903.802933113,,,,,,,,,,,,2429427.3490691353
90,6.357142857142857,,,,,1338846.4033284497,,,,,,,,,,,,,2699847.502505922,,,,,,,,,,,,2408476.3121523485
