Condition_mM,Modality,N_boot,N_modalities_compared,N_volume_suppressed,N_motility_suppressed,N_thrashing_suppressed,N_volume_total,N_motility_total,N_thrashing_total,BootstrapMedian_s,Probability,CI95_low,CI95_high,Threshold_pct
21,Motility,5000,3,7,1,20,21,21,21,66.57142857142857,0.0954,0.0,1.0,25
21,Thrashing,5000,3,7,1,20,21,21,21,27.857142857142854,0.9046,0.0,1.0,25
21,Volume,5000,3,7,1,20,21,21,21,350.7142857142857,0.0,0.0,0.0,25
150,Motility,5000,3,8,1,17,17,17,17,298.4285714285714,0.0,0.0,0.0,25
150,Thrashing,5000,3,8,1,17,17,17,17,63.71428571428571,0.9988,1.0,1.0,25
150,Volume,5000,3,8,1,17,17,17,17,347.8928571428571,0.0012,0.0,0.0,25
250,Motility,5000,3,18,9,19,19,19,19,386.3571428571428,0.0,0.0,0.0,25
250,Thrashing,5000,3,18,9,19,19,19,19,48.71428571428571,0.9992,1.0,1.0,25
250,Volume,5000,3,18,9,19,19,19,19,248.07142857142856,0.0008,0.0,0.0,25
350,Motility,5000,3,16,17,18,18,18,18,257.7857142857143,0.0,0.0,0.0,25
350,Thrashing,5000,3,16,17,18,18,18,18,118.46428571428571,0.9996,1.0,1.0,25
350,Volume,5000,3,16,17,18,18,18,18,208.8571428571429,0.0004,0.0,0.0,25
450,Motility,5000,3,30,29,30,30,30,30,199.85714285714283,0.0,0.0,0.0,25
450,Thrashing,5000,3,30,29,30,30,30,30,123.35714285714285,0.8626,0.0,1.0,25
450,Volume,5000,3,30,29,30,30,30,30,140.96428571428572,0.1374,0.0,1.0,25
550,Motility,5000,3,11,11,12,12,12,12,160.35714285714286,0.069,0.0,1.0,25
550,Thrashing,5000,3,11,11,12,12,12,12,102.07142857142856,0.905,0.0,1.0,25
550,Volume,5000,3,11,11,12,12,12,12,166.64285714285714,0.026,0.0,1.0,25
650,Motility,5000,3,51,52,52,51,53,53,116.75,0.5553,0.0,1.0,25
650,Thrashing,5000,3,51,52,52,51,53,53,118.64285714285714,0.4447,0.0,1.0,25
650,Volume,5000,3,51,52,52,51,53,53,165.7142857142857,0.0,0.0,0.0,25
750,Motility,5000,3,17,18,19,17,19,19,112.07142857142857,0.3775,0.0,1.0,25
750,Thrashing,5000,3,17,18,19,17,19,19,106.35714285714285,0.6177,0.0,1.0,25
750,Volume,5000,3,17,18,19,17,19,19,144.35714285714286,0.0048,0.0,0.0,25
850,Motility,5000,3,20,21,22,21,22,22,90.71428571428572,0.1798,0.0,1.0,25
850,Thrashing,5000,3,20,21,22,21,22,22,84.21428571428571,0.8202,0.0,1.0,25
850,Volume,5000,3,20,21,22,21,22,22,147.96428571428572,0.0,0.0,0.0,25
950,Motility,5000,3,30,30,30,30,30,30,88.60714285714286,0.1649,0.0,1.0,25
950,Thrashing,5000,3,30,30,30,30,30,30,83.60714285714286,0.8351,0.0,1.0,25
950,Volume,5000,3,30,30,30,30,30,30,140.6428571428571,0.0,0.0,0.0,25
1050,Motility,5000,3,31,32,32,31,34,34,74.75,0.3812,0.0,1.0,25
1050,Thrashing,5000,3,31,32,32,31,34,34,71.71428571428571,0.6188,0.0,1.0,25
1050,Volume,5000,3,31,32,32,31,34,34,138.7142857142857,0.0,0.0,0.0,25
