Condition_mM,WinnerModality,WinnerProbability,Winner_CI95_low,Winner_CI95_high,N_boot,N_modalities_compared,N_volume_suppressed,N_motility_suppressed,N_thrashing_suppressed,N_volume_total,N_motility_total,N_thrashing_total
21,Thrashing,0.9622,0.0,1.0,5000,3,6,6,21,21,21,21
150,Thrashing,0.9988,1.0,1.0,5000,3,8,3,17,17,17,17
250,Thrashing,1.0,1.0,1.0,5000,3,18,12,19,19,19,19
350,Thrashing,0.9994,1.0,1.0,5000,3,14,18,18,18,18,18
450,Thrashing,1.0,1.0,1.0,5000,3,30,30,30,30,30,30
550,Thrashing,0.9602,0.0,1.0,5000,3,11,11,12,12,12,12
650,Thrashing,0.9993,1.0,1.0,5000,3,51,52,52,51,53,53
750,Thrashing,0.9094,0.0,1.0,5000,3,17,19,19,17,19,19
850,Thrashing,0.9907,1.0,1.0,5000,3,20,21,22,21,22,22
950,Thrashing,0.9918,1.0,1.0,5000,3,30,30,30,30,30,30
1050,Thrashing,0.9938,1.0,1.0,5000,3,31,32,32,31,34,34
