Condition_mM,WinnerModality,WinnerProbability,Winner_CI95_low,Winner_CI95_high,N_boot,N_modalities_compared,N_volume_suppressed,N_motility_suppressed,N_thrashing_suppressed,N_volume_total,N_motility_total,N_thrashing_total,Threshold_pct
21,Thrashing,0.9046,0.0,1.0,5000,3,7,1,20,21,21,21,25
150,Thrashing,0.9988,1.0,1.0,5000,3,8,1,17,17,17,17,25
250,Thrashing,0.9992,1.0,1.0,5000,3,18,9,19,19,19,19,25
350,Thrashing,0.9996,1.0,1.0,5000,3,16,17,18,18,18,18,25
450,Thrashing,0.8626,0.0,1.0,5000,3,30,29,30,30,30,30,25
550,Thrashing,0.905,0.0,1.0,5000,3,11,11,12,12,12,12,25
650,Motility,0.5553,0.0,1.0,5000,3,51,52,52,51,53,53,25
750,Thrashing,0.6177,0.0,1.0,5000,3,17,18,19,17,19,19,25
850,Thrashing,0.8202,0.0,1.0,5000,3,20,21,22,21,22,22,25
950,Thrashing,0.8351,0.0,1.0,5000,3,30,30,30,30,30,30,25
1050,Thrashing,0.6188,0.0,1.0,5000,3,31,32,32,31,34,34,25
