Condition_mM,P_first_Motility,P_first_Thrashing,P_first_Volume,N_volume_suppressed,N_motility_suppressed,N_thrashing_suppressed,N_volume_total,N_motility_total,N_thrashing_total,N_boot,N_modalities_compared
21,0.0378,0.9622,0.0,6,6,21,21,21,21,5000,3
150,0.0,0.9988,0.0012,8,3,17,17,17,17,5000,3
250,0.0,1.0,0.0,18,12,19,19,19,19,5000,3
350,0.0006,0.9994,0.0,14,18,18,18,18,18,5000,3
450,0.0,1.0,0.0,30,30,30,30,30,30,5000,3
550,0.0398,0.9602,0.0,11,11,12,12,12,12,5000,3
650,0.0007,0.9993,0.0,51,52,52,51,53,53,5000,3
750,0.0906,0.9094,0.0,17,19,19,17,19,19,5000,3
850,0.0093,0.9907,0.0,20,21,22,21,22,22,5000,3
950,0.0082,0.9918,0.0,30,30,30,30,30,30,5000,3
1050,0.0062,0.9938,0.0,31,32,32,31,34,34,5000,3
