Panel,Condition_mM,n,pearson_r,pearson_p,spearman_rho,spearman_p
Speed loss onset,all,219,-0.40322607353210443,5.71084617139847e-10,-0.5011388097100306,2.5118154245100475e-15
Speed loss onset,21,0,,,,
Speed loss onset,150,1,,,,
Speed loss onset,250,9,0.3728467730091835,0.32302207759716717,0.2928895930645031,0.4443546956852246
Speed loss onset,350,16,-0.23661611583784692,0.377606543172646,-0.3,0.2589364525624988
Speed loss onset,450,29,-0.1812358320308259,0.3467676635754186,-0.2234540595037578,0.24393331558755063
Speed loss onset,550,16,-0.40567274218454014,0.11900054820622259,0.2029411764705882,0.4509612417227097
Speed loss onset,650,51,-0.2696052050278193,0.05571892232864345,-0.15457713034514586,0.2787816676053148
Speed loss onset,750,16,-0.08614675321982265,0.7510728510771421,-0.18248717228863065,0.4987535498948497
Speed loss onset,850,20,-0.21567703305520547,0.36111388336157957,-0.20902255639097742,0.3764723395871388
Speed loss onset,950,30,-0.44051587111519586,0.014836886920806501,-0.20360481144925704,0.2805175483077491
Speed loss onset,1050,31,0.04738125766834521,0.8001842069828157,0.1175521731954437,0.5288280276070163
Thrashing loss onset,all,254,-0.1737971065983154,0.005479980670365353,-0.08065717458697318,0.2001192930168625
Thrashing loss onset,21,10,-0.28399042678003633,0.4264954948856792,-0.12232930723626229,0.736373234033993
Thrashing loss onset,150,15,0.1470520910517593,0.6009888493168245,0.04710445709140064,0.8676069595225043
Thrashing loss onset,250,18,-0.13038835474577656,0.6060728457365573,0.2390915688263975,0.33931814552570455
Thrashing loss onset,350,16,-0.07193678966006259,0.7912034952417948,-0.19999999999999998,0.45768790507519996
Thrashing loss onset,450,30,0.04606834795744566,0.8089869567133987,0.030040054148251037,0.874787725595425
Thrashing loss onset,550,16,-0.16498369435725033,0.5414575489779402,-0.03679176860657876,0.8923953385946605
Thrashing loss onset,650,51,-0.1388127772028784,0.3313196503536246,-0.06511606866705646,0.6498463602985701
Thrashing loss onset,750,17,-0.028515882234909907,0.9134883107616029,-0.16799512660984475,0.5192462972554122
Thrashing loss onset,850,20,-0.17692442363089422,0.45554639282660203,-0.314403933479019,0.17699797324159203
Thrashing loss onset,950,30,-0.33557549741749254,0.06984710831631868,-0.21495327634970743,0.2539878225600684
Thrashing loss onset,1050,31,0.2526491055923838,0.17029702976865263,0.20447670901391404,0.26985249732756444
