Condition_mM,Delta,Median_s
21,MotilityMinusVolume_s,-143.67857142857142
21,ThrashingMinusVolume_s,-287.9642857142857
21,ThrashingMinusMotility_s,-144.2857142857143
150,MotilityMinusVolume_s,-42.53571428571428
150,ThrashingMinusVolume_s,-356.82142857142856
150,ThrashingMinusMotility_s,-314.2857142857143
250,MotilityMinusVolume_s,-18.107142857142833
250,ThrashingMinusVolume_s,-301.5357142857142
250,ThrashingMinusMotility_s,-283.4285714285714
350,MotilityMinusVolume_s,-110.10714285714289
350,ThrashingMinusVolume_s,-179.5357142857143
350,ThrashingMinusMotility_s,-69.42857142857142
450,MotilityMinusVolume_s,-58.14285714285717
450,ThrashingMinusVolume_s,-129.82142857142858
450,ThrashingMinusMotility_s,-71.67857142857142
550,ThrashingMinusMotility_s,-85.10714285714285
550,ThrashingMinusVolume_s,-145.3928571428571
550,MotilityMinusVolume_s,-60.28571428571428
650,MotilityMinusVolume_s,-105.57142857142857
650,ThrashingMinusVolume_s,-132.60714285714286
650,ThrashingMinusMotility_s,-27.035714285714292
750,MotilityMinusVolume_s,-84.85714285714286
750,ThrashingMinusVolume_s,-105.28571428571429
750,ThrashingMinusMotility_s,-20.42857142857143
850,MotilityMinusVolume_s,-111.24999999999999
850,ThrashingMinusVolume_s,-131.2142857142857
850,ThrashingMinusMotility_s,-19.964285714285715
950,MotilityMinusVolume_s,-92.64285714285714
950,ThrashingMinusVolume_s,-114.82142857142857
950,ThrashingMinusMotility_s,-22.17857142857143
1050,MotilityMinusVolume_s,-103.14285714285714
1050,ThrashingMinusVolume_s,-114.60714285714286
1050,ThrashingMinusMotility_s,-11.464285714285715
