Condition_mM,Median_s_V,Mean_s_V,SE_s_V,N_suppressed_V,N_total_V,SuppressedFraction_V,Median_s_M,Mean_s_M,SE_s_M,N_suppressed_M,N_total_M,SuppressedFraction_M,Median_s_T,Mean_s_T,SE_s_T,N_suppressed_T,N_total_T,SuppressedFraction_T,MotilityMinusVolume_s,ThrashingMinusVolume_s,ThrashingMinusMotility_s,VolumeLossTime_s,MotilityLossTime_s,ThrashingLossTime_s
21,350.7142857142857,320.43877551020404,54.38693442987167,7,21,0.3333333333333333,66.57142857142857,66.57142857142857,,1,21,0.047619047619047616,27.857142857142854,103.75,33.34592053338937,20,21,0.9523809523809523,-284.14285714285717,-322.8571428571429,-38.714285714285715,350.7142857142857,66.57142857142857,27.857142857142854
150,347.8928571428571,352.4017857142857,56.34600802015037,8,17,0.47058823529411764,298.4285714285714,298.4285714285714,,1,17,0.058823529411764705,63.71428571428571,131.52521008403363,35.75528368533362,17,17,1.0,-49.46428571428572,-284.1785714285714,-234.71428571428567,347.8928571428571,298.4285714285714,63.71428571428571
250,248.07142857142856,253.14285714285708,37.30846644754334,18,19,0.9473684210526315,386.3571428571428,414.4365079365079,40.78617547004645,9,19,0.47368421052631576,48.71428571428571,80.56390977443608,19.905228747281107,19,19,1.0,138.28571428571422,-199.35714285714283,-337.64285714285705,248.07142857142856,386.3571428571428,48.71428571428571
350,208.8571428571429,242.04910714285714,28.913263673846725,16,18,0.8888888888888888,257.7857142857143,284.7773109243697,27.947794676488286,17,18,0.9444444444444444,118.46428571428571,126.86507936507935,23.345439957081105,18,18,1.0,48.92857142857139,-90.39285714285718,-139.32142857142856,208.8571428571429,257.7857142857143,118.46428571428571
450,140.96428571428572,149.63333333333333,14.760037251435838,30,30,1.0,199.85714285714283,234.1699507389163,19.07100962812575,29,30,0.9666666666666667,123.35714285714285,125.45,16.132126630349767,30,30,1.0,58.89285714285711,-17.607142857142875,-76.49999999999999,140.96428571428572,199.85714285714283,123.35714285714285
550,166.64285714285714,164.42207792207793,11.277217969609648,11,12,0.9166666666666666,160.35714285714286,164.06493506493504,15.879936976601636,11,12,0.9166666666666666,102.07142857142856,115.41666666666667,21.628715096806307,12,12,1.0,-6.285714285714278,-64.57142857142858,-58.285714285714306,166.64285714285714,160.35714285714286,102.07142857142856
650,165.7142857142857,162.4299719887955,7.481367676147629,51,51,1.0,116.75,128.02884615384613,6.206177440512052,52,53,0.9811320754716981,118.64285714285714,123.11401098901099,6.574756184768627,52,53,0.9811320754716981,-48.964285714285694,-47.071428571428555,1.8928571428571388,165.7142857142857,116.75,118.64285714285714
750,144.35714285714286,138.73109243697476,8.123254566911264,17,17,1.0,112.07142857142857,109.57539682539681,9.4803498469569,18,19,0.9473684210526315,106.35714285714285,97.96616541353383,10.696401627185269,19,19,1.0,-32.28571428571429,-38.000000000000014,-5.714285714285722,144.35714285714286,112.07142857142857,106.35714285714285
850,147.96428571428572,143.2392857142857,8.342183892072354,20,21,0.9523809523809523,90.71428571428572,88.71428571428571,6.167967976583171,21,22,0.9545454545454546,84.21428571428571,85.02922077922076,5.808232934227593,22,22,1.0,-57.25,-63.750000000000014,-6.500000000000014,147.96428571428572,90.71428571428572,84.21428571428571
950,140.6428571428571,138.6047619047619,5.4480472663461885,30,30,1.0,88.60714285714286,93.67619047619046,5.950942749076288,30,30,1.0,83.60714285714286,87.39523809523808,5.486460776954909,30,30,1.0,-52.03571428571425,-57.03571428571425,-5.0,140.6428571428571,88.60714285714286,83.60714285714286
1050,138.7142857142857,146.1290322580645,9.779392050651571,31,31,1.0,74.75,80.85491071428571,4.849870755175723,32,34,0.9411764705882353,71.71428571428571,79.41517857142857,5.269926014794436,32,34,0.9411764705882353,-63.964285714285694,-66.99999999999999,-3.035714285714292,138.7142857142857,74.75,71.71428571428571
