Condition_mM,N_tracks,MeanSpeed,StdSpeed,CV_percent
21,21,231.28468321860004,119.69330329168216,51.75150452075261
150,17,241.21030404880372,96.05638297133345,39.8226698275288
250,19,185.87190331141616,111.5051791429247,59.99033590144342
350,18,87.8008213459696,97.20707421547274,110.71317184202508
450,30,62.182489212372275,97.65619875023683,157.04774766528072
550,17,37.33603569697898,76.17905514749236,204.03627146107624
650,53,40.09361145160852,91.1718878300858,227.39754422004822
750,19,31.37000042957408,74.05000633465967,236.05357131219228
850,22,28.819793349877482,73.13316807848963,253.76020983440029
950,30,26.67898428688053,72.4567709251144,271.58744180806474
1050,34,23.98184707283166,67.20006435903409,280.2122128247707
