Threshold_pct,Condition_mM,Comparison,N_pairs,MedianDelta_s,MeanDelta_s,Wilcoxon_W,Wilcoxon_p_one_sided,SignTest_p_one_sided,PropThrashEarlier,Earlier,Later,Ties,Status,Wilcoxon_q_BH
25,1050,Thrash_vs_Speed,32,0.3214285714285694,-1.4397321428571437,246.0,0.4843682213599929,0.7634351700544357,0.45161290322580644,14,17,1,ok,0.9687364427199857
25,1050,Thrash_vs_Volume,31,-22.85714285714286,-16.741935483870968,145.0,0.02172682899981737,0.014724686741828918,0.7096774193548387,22,9,0,ok,0.07966503966599703
25,150,Thrash_vs_Speed,1,-246.21428571428567,-246.21428571428567,,,0.5,1.0,1,0,0,n<3,
25,150,Thrash_vs_Volume,15,76.21428571428571,141.70952380952383,120.0,1.0,1.0,0.0,0,15,0,ok,1.0
25,21,Thrash_vs_Speed,1,-33.142857142857146,-33.142857142857146,,,0.5,1.0,1,0,0,n<3,
25,21,Thrash_vs_Volume,10,151.28571428571428,184.42857142857142,54.0,0.9990234375,0.9990234375,0.1,1,9,0,ok,1.0
25,250,Thrash_vs_Speed,9,-326.49999999999994,-320.95238095238096,0.0,0.001953125,0.001953125,1.0,9,0,0,ok,0.0107421875
25,250,Thrash_vs_Volume,18,57.89285714285714,76.46825396825395,155.0,0.9994773864746094,0.9962310791015625,0.2222222222222222,4,14,0,ok,1.0
25,350,Thrash_vs_Speed,17,-125.85714285714286,-160.23949579831933,0.0,7.62939453125e-06,7.62939453125e-06,1.0,17,0,0,ok,5.5948893229166664e-05
25,350,Thrash_vs_Volume,16,79.0,94.0,124.0,0.9991607666015625,0.9979095458984375,0.1875,3,13,0,ok,1.0
25,450,Thrash_vs_Speed,29,-109.28571428571429,-118.74630541871922,15.0,2.551823854446411e-07,0.0002730563282966614,0.8275862068965517,24,5,0,ok,2.8070062398910522e-06
25,450,Thrash_vs_Volume,30,104.17857142857142,103.97857142857143,422.0,0.9999951091738734,0.9999999441206455,0.06896551724137931,2,27,1,ok,1.0
25,550,Thrash_vs_Speed,17,-73.07142857142856,-72.16806722689074,22.0,0.008689181723349143,0.0384063720703125,0.75,12,4,1,ok,0.038232399582736235
25,550,Thrash_vs_Volume,16,66.96428571428571,53.620535714285715,114.0,0.9934539794921875,0.9997406005859375,0.125,2,14,0,ok,1.0
25,650,Thrash_vs_Speed,52,-1.5714285714285339,-4.914835164835164,648.0,0.3544314873596449,0.33890431957123024,0.5384615384615384,28,24,0,ok,0.7797492721912188
25,650,Thrash_vs_Volume,51,87.35714285714286,89.6470588235294,1288.0,0.9999999976634968,0.9999999988359924,0.11764705882352941,6,45,0,ok,1.0
25,750,Thrash_vs_Speed,18,-4.642857142857139,-6.583333333333332,67.0,0.22114944458007812,0.2403411865234375,0.6111111111111112,11,7,0,ok,0.5528939565022787
25,750,Thrash_vs_Volume,17,56.57142857142857,52.39495798319327,130.0,0.9960479736328125,0.9936370849609375,0.23529411764705882,4,13,0,ok,1.0
25,850,Thrash_vs_Speed,21,-5.642857142857139,-3.272108843537415,93.0,0.22618389129638672,0.33181190490722656,0.5714285714285714,12,9,0,ok,0.5528939565022787
25,850,Thrash_vs_Volume,20,-11.999999999999993,6.246428571428574,116.0,0.6628885269165039,0.41190147399902344,0.55,11,9,0,ok,1.0
25,950,Thrash_vs_Speed,30,-3.7857142857142776,-6.280952380952382,167.0,0.09198454674333334,0.10024421103298667,0.6333333333333333,19,11,0,ok,0.2890942897647619
25,950,Thrash_vs_Volume,30,-9.785714285714292,8.647619047619047,263.0,0.7354474077001214,0.42776777595281607,0.5333333333333333,16,14,0,ok,1.0
25,ALL,Thrash_vs_Speed,227,-8.500000000000014,-49.51447451227187,6480.0,9.10087651912669e-11,1.2761891237103987e-06,0.6577777777777778,148,77,2,ok,2.002192834207872e-09
25,ALL,Thrash_vs_Volume,254,54.78571428571429,63.605174353205854,26822.0,1.0,0.9999999999996051,0.28063241106719367,71,182,1,ok,1.0
50,1050,Thrash_vs_Speed,32,-10.535714285714285,-14.377232142857142,101.0,0.0011518734159739479,0.010030803503468633,0.71875,23,9,0,ok,0.0034556202479218436
50,1050,Thrash_vs_Volume,31,-40.71428571428571,-40.25345622119816,53.0,2.0026229321956635e-05,0.0016634464263916016,0.7741935483870968,24,7,0,ok,8.815154433250427e-05
50,150,Thrash_vs_Speed,3,-230.28571428571428,-214.66666666666666,0.0,0.125,0.125,1.0,3,0,0,ok,0.2
50,150,Thrash_vs_Volume,15,68.92857142857143,116.29047619047618,120.0,1.0,1.0,0.0,0,15,0,ok,1.0
50,21,Thrash_vs_Speed,6,-151.32142857142858,-143.77380952380952,1.0,0.03125,0.109375,0.8333333333333334,5,1,0,ok,0.057692307692307696
50,21,Thrash_vs_Volume,11,76.78571428571428,118.98701298701297,65.0,0.99951171875,0.99951171875,0.09090909090909091,1,10,0,ok,1.0
50,250,Thrash_vs_Speed,12,-311.6785714285714,-303.5416666666667,0.0,0.000244140625,0.000244140625,1.0,12,0,0,ok,0.0008370535714285714
50,250,Thrash_vs_Volume,18,22.428571428571427,48.333333333333336,151.0,0.9988327026367188,0.9962310791015625,0.2222222222222222,4,14,0,ok,1.0
50,350,Thrash_vs_Speed,18,-77.60714285714285,-108.48015873015872,1.0,7.62939453125e-06,7.2479248046875e-05,0.9444444444444444,17,1,0,ok,4.57763671875e-05
50,350,Thrash_vs_Volume,16,55.85714285714286,72.18303571428572,120.0,0.9979095458984375,0.9893646240234375,0.25,4,12,0,ok,1.0
50,450,Thrash_vs_Speed,30,-77.78571428571428,-99.24761904761905,1.0,1.862645149230957e-09,2.8870999813079834e-08,0.9666666666666667,29,1,0,ok,2.2351741790771484e-08
50,450,Thrash_vs_Volume,30,47.60714285714285,60.0952380952381,408.0,0.9999809921323656,0.9999999441206455,0.06896551724137931,2,27,1,ok,1.0
50,550,Thrash_vs_Speed,17,-67.42857142857144,-47.0126050420168,21.0,0.003326416015625,0.0063629150390625,0.8235294117647058,14,3,0,ok,0.0079833984375
50,550,Thrash_vs_Volume,16,37.89285714285714,28.861607142857146,109.0,0.985504150390625,0.9997406005859375,0.125,2,14,0,ok,1.0
50,650,Thrash_vs_Speed,52,-19.000000000000007,-33.64835164835166,94.0,3.002174261769178e-08,5.162910987621672e-09,0.8846153846153846,46,6,0,ok,2.4017394094153425e-07
50,650,Thrash_vs_Volume,51,47.71428571428571,39.88095238095238,1135.0,0.9999951616957803,0.9999983055860255,0.19607843137254902,10,41,0,ok,1.0
50,750,Thrash_vs_Speed,19,-16.142857142857167,-19.66541353383459,40.0,0.012910842895507812,0.0317840576171875,0.7368421052631579,14,5,0,ok,0.025821685791015625
50,750,Thrash_vs_Volume,17,23.64285714285714,20.0126050420168,102.0,0.8876571655273438,0.9282684326171875,0.35294117647058826,6,11,0,ok,1.0
50,850,Thrash_vs_Speed,21,-15.357142857142861,-20.860544217687075,37.0,0.003179403742088673,0.09462356567382812,0.6666666666666666,14,7,0,ok,0.0079833984375
50,850,Thrash_vs_Volume,20,-42.64285714285714,-27.903571428571418,45.0,0.011975288391113281,0.13158798217773438,0.65,13,7,0,ok,0.025821685791015625
50,950,Thrash_vs_Speed,30,-15.07142857142857,-16.71428571428571,48.0,2.2037886083126068e-05,4.215165972709656e-06,0.9,27,3,0,ok,8.815154433250427e-05
50,950,Thrash_vs_Volume,30,-34.03571428571429,-16.826190476190476,157.0,0.06206723116338253,0.2923323558643461,0.5666666666666667,17,13,0,ok,0.10640096770865577
