Condition_mM,MeanThrashRate_Hz_mean,MeanThrashRate_Hz_se,TimeToSuppression_s_mean,TimeToSuppression_s_se,Tracks,SuppressedTracks
21,1.0868805996653563,0.05662594708564192,91.96992481203007,27.43655698409675,21,19
150,1.1030960153185752,0.07121739806698478,143.28571428571428,35.03600874476865,17,17
250,0.865876083855096,0.04527794076666192,94.3609022556391,23.268494302767426,19,19
350,0.3635839556847949,0.05374959539706257,130.53174603174602,22.65868134755944,18,18
450,0.23397991544698457,0.03234421588624509,138.85,17.534349637054234,30,30
550,0.19104841437702366,0.032779340581967964,116.67261904761905,21.77934485402777,12,12
650,0.18849578171444586,0.021725997250022253,137.00137362637363,7.118573105460063,53,52
750,0.16176357723457296,0.02942095068278667,105.47744360902254,12.380252357103842,19,19
850,0.1503444119866793,0.02343373860697228,95.9707792207792,6.615309280805201,22,22
950,0.11536414170366145,0.011747166629612227,96.1642857142857,5.740442137365549,30,30
1050,0.16647345453465862,0.040983847808340544,87.28571428571428,5.430012276951799,34,32
