Condition_mM,Mean_time_s,SE_time_s,N_tracks
21,277.55442176870747,41.94459413652713,21
150,314.327731092437,49.7088269495123,17
250,426.22932330827064,33.33332195620436,19
350,388.79761904761904,38.136219313002115,18
450,433.4285714285714,21.254201334342785,30
550,370.38095238095235,35.95056508988998,12
650,341.0660377358491,19.424502325050025,53
750,319.7593984962406,29.110671127356216,19
850,310.7435064935065,30.19395867473647,22
950,300.2047619047619,22.97741671264324,30
1050,246.94537815126048,23.803774399824867,34
